id,name,description,method,fragmentation_method,fragmentation_depth,fragment_filter,adducts,library,use_unshifted,use_intensity,use_ppm,mz_tol,is_subtract
f5b7c1ec6de09ea1d4a5241a0a1eeded309982a0,,,cfmid,,,,M+H,BERKELEY-LAB,,,,,False
003cbf730b4f3c9ba6858342e523a584952041fe,,,multiple_random_choice,,,,M+H,BERKELEY-LAB,,,,,False
7a6e35f3bd077f911900357b5704634f1c32fac1,,,multiple_random_distribution,,,,M+H,BERKELEY-LAB,,,,,False
41ae4095c516d32e27ef4a8295b3ba8f0c03d779,,,ours,MAGMa,2.0,none,M+H,BERKELEY-LAB,True,False,True,40.0,False
81a76ae346ff99ca28601589aeaa836f63eaf623,,,ours,MAGMa,2.0,sirius,M+H,BERKELEY-LAB,True,False,True,40.0,False
928af28c128b3ad823a2c60a8a9a996f95416c79,,,ours,MAGMa,2.0,msbuddy,M+H,BERKELEY-LAB,True,False,True,40.0,False
1ebc34548654f9b3685e32d7ed54a8f3a37cf8b7,,,ours,MAGMa,2.0,oracle,M+H,BERKELEY-LAB,True,False,True,40.0,False
3ce3531747557e4ecc24a24355ff2ae4f842ba07,,,ours,MAGMa,2.0,helpers,M+H,BERKELEY-LAB,True,False,True,40.0,False
70aff0a0fc3cda895bf7dbed82aceb7e52528c04,,,ours,MAGMa,2.0,oracle_nohelper,M+H,BERKELEY-LAB,True,False,True,40.0,False
ef3287d325b24966aa24f87b846594f04d770caa,,,ours,MAGMa,3.0,none,M+H,BERKELEY-LAB,True,False,True,40.0,False
d6e89f838ad3ece02182c0fa0a24cd20668b7d21,,,ours,MAGMa,3.0,oracle,M+H,BERKELEY-LAB,True,False,True,40.0,False
584b531bd8d28b779a9be5410752d994b35d75cd,,,ours,MAGMa,3.0,helpers,M+H,BERKELEY-LAB,True,False,True,40.0,False
cbd8f2cb8733a82dfd1324990dcdfb8ba134a0bc,,,ours,MAGMa,4.0,none,M+H,BERKELEY-LAB,True,False,True,40.0,False
ffb6c81bbc68b50def378f9d971fbc20130f10bd,,,ours,MAGMa,4.0,oracle,M+H,BERKELEY-LAB,True,False,True,40.0,False
a152bded910bf64a0fe9f6171f448129a34d5c26,,,ours,MAGMa,4.0,helpers,M+H,BERKELEY-LAB,True,False,True,40.0,False
11b5adfb533e13a6aeea4bbf1fe2f1298b82c527,,,cfmid,,,,M+H,GNPS-MSMLS,,,,,False
2de2cb17df39a74931010eac88d56d7e4c63345c,,,multiple_random_choice,,,,M+H,GNPS-MSMLS,,,,,False
185148004bacea1a8b506b8d8055eb8063b3d8e1,,,multiple_random_distribution,,,,M+H,GNPS-MSMLS,,,,,False
889e48ac419b7c40f597c4223b07542acf8e05a7,,,ours,MAGMa,2.0,none,M+H,GNPS-MSMLS,True,False,True,40.0,False
4b4bf8875fdefc50ae301dd5857d2e10d91bf482,,,ours,MAGMa,2.0,sirius,M+H,GNPS-MSMLS,True,False,True,40.0,False
55642f1fbb374a19e4c245dc5172db69df81e8b0,,,ours,MAGMa,2.0,msbuddy,M+H,GNPS-MSMLS,True,False,True,40.0,False
0c7a48d0e14f845e6209983bcb98a65dc133780b,,,ours,MAGMa,2.0,oracle,M+H,GNPS-MSMLS,True,False,True,40.0,False
8ad228b310e8e9b0bfb8c5ec15d465b633dfb31e,,,ours,MAGMa,2.0,helpers,M+H,GNPS-MSMLS,True,False,True,40.0,False
e66f0e870a74d89703157d081ae5223c138bd9bd,,,ours,MAGMa,2.0,oracle_nohelper,M+H,GNPS-MSMLS,True,False,True,40.0,False
19acf8e0b46b3a1969236379305225d4d6505ae8,,,ours,MAGMa,3.0,none,M+H,GNPS-MSMLS,True,False,True,40.0,False
b0ba6523a068a3ac2cb20775301d5ff7dbc9bbd3,,,ours,MAGMa,3.0,oracle,M+H,GNPS-MSMLS,True,False,True,40.0,False
834e43d4bd93b2d49ad13ff00c839a3a2e3585b8,,,ours,MAGMa,3.0,helpers,M+H,GNPS-MSMLS,True,False,True,40.0,False
a21395bc5c2865cb7173c3ecf8aa97f1219d824a,,,ours,MAGMa,4.0,none,M+H,GNPS-MSMLS,True,False,True,40.0,False
9ac4dc607b6575a9ef4c34158b85c00e58fa5860,,,ours,MAGMa,4.0,oracle,M+H,GNPS-MSMLS,True,False,True,40.0,False
ede25cfe206da98d4d713cbd5c8f65b3ab9b2970,,,ours,MAGMa,4.0,helpers,M+H,GNPS-MSMLS,True,False,True,40.0,False
0d7327bf5181720a552963d17fc3e0d8ec2f2ecc,,,cfmid,,,,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,,,,,False
3772d6a4cb00f669c92edb90d8f95915db026220,,,multiple_random_choice,,,,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,,,,,False
6eb344897891d61972e604e8aaa0a02bfd754839,,,multiple_random_distribution,,,,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,,,,,False
72086f8f49133b3e365a185182a2b6b3103cf207,,,ours,MAGMa,2.0,none,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
7a8085d6c701e133bf5a1c013c4f1307beb42ee1,,,ours,MAGMa,2.0,sirius,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
123a1eab2c43c856e4630731ae4492213f6f5da0,,,ours,MAGMa,2.0,msbuddy,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
ca482befe5bf65958a8432d72c2c7ab924339ccf,,,ours,MAGMa,2.0,oracle,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
d4ebcfaa37d609f1808325d1524ded49592da53b,,,ours,MAGMa,2.0,helpers,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
0a0a51546eb7bee3c39b4556fc3dbf8f1d2b076c,,,ours,MAGMa,2.0,oracle_nohelper,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
f983e0beea0fe825d4348ac57b23733c11abbea0,,,ours,MAGMa,3.0,none,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
39711edcb90a35474b84c785a1db43c79d0cce23,,,ours,MAGMa,3.0,oracle,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
d667bd9d29b379eb4af50944f7527af638052b93,,,ours,MAGMa,3.0,helpers,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
911a70fd30fa277383cdb69b176b9a573ce21eda,,,ours,MAGMa,4.0,none,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
6b5985dc41b6f460fc21ed74865ecf8d6df95b98,,,ours,MAGMa,4.0,oracle,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
4d2f72753281b27657dd4dc9c3fa7ec6b2a4742f,,,ours,MAGMa,4.0,helpers,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
1385339073a029a9d1fbdddd429de75560d7519f,,,cfmid,,,,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,,,,,False
7707be2809437b4fb532fec608d7375b26deb63e,,,multiple_random_choice,,,,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,,,,,False
66bdb558fcfbe1b03bfa1ee0f9f3c233f8e4a4f5,,,multiple_random_distribution,,,,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,,,,,False
e530a5b39ade1752fea967bf2c4b701df058f3b4,,,ours,MAGMa,2.0,none,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
031b5a1c135f4695aafbd1bc18871da345395914,,,ours,MAGMa,2.0,sirius,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
f95a7a572162ca7b2a5b064e0d48f7c39d3ee4a6,,,ours,MAGMa,2.0,msbuddy,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
243b2f7fd728a27d4b3ad77bcc5200ea9671e13f,,,ours,MAGMa,2.0,oracle,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
72f498e12258439cde3e9eac7d175f38d56addf2,,,ours,MAGMa,2.0,helpers,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
7f71104dcf59d5cc43155c50ab5a137d9864fe8e,,,ours,MAGMa,2.0,oracle_nohelper,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
1e9bb093cace3d45b99203c9b63b4a075d5dc334,,,ours,MAGMa,3.0,none,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
055033ccb192c7d7380f904eeede43a9400339de,,,ours,MAGMa,3.0,oracle,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
77e12905a2432bb60480efbfd58b89d7e94625b9,,,ours,MAGMa,3.0,helpers,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
cba0a6d3029e3b106b30060b5ca0731d1f9eb073,,,ours,MAGMa,4.0,none,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
21860885eea799da4e879e915f2ffdfe7b0a4c02,,,ours,MAGMa,4.0,oracle,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
16739f21419960b28bb26314f200c28f0110009e,,,ours,MAGMa,4.0,helpers,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
