id,name,description,method,fragmentation_method,fragmentation_depth,fragment_filter,adducts,library,use_unshifted,use_intensity,use_ppm,mz_tol,is_subtract
889e48ac419b7c40f597c4223b07542acf8e05a7,,,ours,MAGMa,2,none,M+H,GNPS-MSMLS,True,False,True,40,False
19acf8e0b46b3a1969236379305225d4d6505ae8,,,ours,MAGMa,3,none,M+H,GNPS-MSMLS,True,False,True,40,False
a21395bc5c2865cb7173c3ecf8aa97f1219d824a,,,ours,MAGMa,4,none,M+H,GNPS-MSMLS,True,False,True,40,False
0c7a48d0e14f845e6209983bcb98a65dc133780b,,,ours,MAGMa,2,oracle,M+H,GNPS-MSMLS,True,False,True,40,False
b0ba6523a068a3ac2cb20775301d5ff7dbc9bbd3,,,ours,MAGMa,3,oracle,M+H,GNPS-MSMLS,True,False,True,40,False
9ac4dc607b6575a9ef4c34158b85c00e58fa5860,,,ours,MAGMa,4,oracle,M+H,GNPS-MSMLS,True,False,True,40,False
8ad228b310e8e9b0bfb8c5ec15d465b633dfb31e,,,ours,MAGMa,2,helpers,M+H,GNPS-MSMLS,True,False,True,40,False
834e43d4bd93b2d49ad13ff00c839a3a2e3585b8,,,ours,MAGMa,3,helpers,M+H,GNPS-MSMLS,True,False,True,40,False
ede25cfe206da98d4d713cbd5c8f65b3ab9b2970,,,ours,MAGMa,4,helpers,M+H,GNPS-MSMLS,True,False,True,40,False
72086f8f49133b3e365a185182a2b6b3103cf207,,,ours,MAGMa,2,none,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40,False
f983e0beea0fe825d4348ac57b23733c11abbea0,,,ours,MAGMa,3,none,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40,False
911a70fd30fa277383cdb69b176b9a573ce21eda,,,ours,MAGMa,4,none,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40,False
ca482befe5bf65958a8432d72c2c7ab924339ccf,,,ours,MAGMa,2,oracle,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40,False
39711edcb90a35474b84c785a1db43c79d0cce23,,,ours,MAGMa,3,oracle,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40,False
6b5985dc41b6f460fc21ed74865ecf8d6df95b98,,,ours,MAGMa,4,oracle,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40,False
