id,name,description,method,fragmentation_method,fragmentation_depth,fragment_filter,adducts,library,use_unshifted,use_intensity,use_ppm,mz_tol,is_subtract
889e48ac419b7c40f597c4223b07542acf8e05a7,,,ours,MAGMa,2.0,none,M+H,GNPS-MSMLS,True,False,True,40.0,False
4b4bf8875fdefc50ae301dd5857d2e10d91bf482,,,ours,MAGMa,2.0,sirius,M+H,GNPS-MSMLS,True,False,True,40.0,False
55642f1fbb374a19e4c245dc5172db69df81e8b0,,,ours,MAGMa,2.0,msbuddy,M+H,GNPS-MSMLS,True,False,True,40.0,False
0c7a48d0e14f845e6209983bcb98a65dc133780b,,,ours,MAGMa,2.0,oracle,M+H,GNPS-MSMLS,True,False,True,40.0,False
8ad228b310e8e9b0bfb8c5ec15d465b633dfb31e,,,ours,MAGMa,2.0,helpers,M+H,GNPS-MSMLS,True,False,True,40.0,False
e66f0e870a74d89703157d081ae5223c138bd9bd,,,ours,MAGMa,2.0,oracle_nohelper,M+H,GNPS-MSMLS,True,False,True,40.0,False
11b5adfb533e13a6aeea4bbf1fe2f1298b82c527,,,cfmid,,,,M+H,GNPS-MSMLS,,,,,False
2de2cb17df39a74931010eac88d56d7e4c63345c,,,multiple_random_choice,,,,M+H,GNPS-MSMLS,,,,,False
185148004bacea1a8b506b8d8055eb8063b3d8e1,,,multiple_random_distribution,,,,M+H,GNPS-MSMLS,,,,,False
72086f8f49133b3e365a185182a2b6b3103cf207,,,ours,MAGMa,2.0,none,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
7a8085d6c701e133bf5a1c013c4f1307beb42ee1,,,ours,MAGMa,2.0,sirius,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
123a1eab2c43c856e4630731ae4492213f6f5da0,,,ours,MAGMa,2.0,msbuddy,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
ca482befe5bf65958a8432d72c2c7ab924339ccf,,,ours,MAGMa,2.0,oracle,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
d4ebcfaa37d609f1808325d1524ded49592da53b,,,ours,MAGMa,2.0,helpers,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
0a0a51546eb7bee3c39b4556fc3dbf8f1d2b076c,,,ours,MAGMa,2.0,oracle_nohelper,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,True,False,True,40.0,False
0d7327bf5181720a552963d17fc3e0d8ec2f2ecc,,,cfmid,,,,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,,,,,False
3772d6a4cb00f669c92edb90d8f95915db026220,,,multiple_random_choice,,,,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,,,,,False
6eb344897891d61972e604e8aaa0a02bfd754839,,,multiple_random_distribution,,,,M+H,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,,,,,False
e530a5b39ade1752fea967bf2c4b701df058f3b4,,,ours,MAGMa,2.0,none,M+H,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,True,False,True,40.0,False
