id_bigger,id_smaller,num_modif_sites,weight_bigger,weight_smaller,difference,adduct,weight_threshold,difference_threshold_rate
CCMSLIB00000855196,CCMSLIB00000853772,1,559.179,429.137,130.04199999999997,M+Na,2000,0.5
CCMSLIB00000854066,CCMSLIB00000853807,1,957.505,795.453,162.05200000000002,M+H,2000,0.5
CCMSLIB00000845960,CCMSLIB00000848846,1,743.203,611.16,132.043,M+H,2000,0.5
CCMSLIB00000846635,CCMSLIB00000845952,1,411.144,397.128,14.01600000000002,M+H,2000,0.5
CCMSLIB00000846563,CCMSLIB00000848686,1,795.437,781.421,14.015999999999963,M+H,2000,0.5
CCMSLIB00000847910,CCMSLIB00000845488,1,259.096,177.054,82.042,M+H,2000,0.5
CCMSLIB00000847934,CCMSLIB00000845809,1,764.406,748.411,15.995000000000005,M+H,2000,0.5
CCMSLIB00000848355,CCMSLIB00000848249,1,611.16,465.102,146.058,M+H,2000,0.5
CCMSLIB00000847858,CCMSLIB00000848751,1,507.113,449.108,58.004999999999995,M+H,2000,0.5
CCMSLIB00005722453,CCMSLIB00005722831,1,777.427,747.416,30.010999999999967,[M-H2O+H]+,2000,0.5
CCMSLIB00000855777,CCMSLIB00000851195,1,276.123,262.144,13.978999999999985,M+H,2000,0.5
CCMSLIB00000853601,CCMSLIB00000854698,1,530.275,472.269,58.00599999999997,M+H,2000,0.5
CCMSLIB00000846888,CCMSLIB00000848964,1,265.107,251.091,14.01600000000002,M+H,2000,0.5
CCMSLIB00000848788,CCMSLIB00000848233,1,423.18,407.185,15.995000000000005,M+H,2000,0.5
CCMSLIB00000848959,CCMSLIB00000848970,1,568.254,510.248,58.00600000000003,M+H,2000,0.5
CCMSLIB00005722743,CCMSLIB00005722633,1,323.091,307.097,15.994000000000028,[M+H]+,2000,0.5
CCMSLIB00000848175,CCMSLIB00000847611,1,301.07,271.06,30.00999999999999,M+H,2000,0.5
CCMSLIB00000848562,CCMSLIB00000845714,1,285.112,271.096,14.01600000000002,M+H,2000,0.5
CCMSLIB00000854042,CCMSLIB00000849730,1,821.468,707.4,114.06799999999998,M+H,2000,0.5
CCMSLIB00005722721,CCMSLIB00005722684,1,607.136,547.115,60.02099999999996,[2M+Na]+,2000,0.5
CCMSLIB00000855808,CCMSLIB00000850965,1,431.183,389.172,42.01099999999997,M+K,2000,0.5
CCMSLIB00000847498,CCMSLIB00000848010,1,363.107,349.092,14.015000000000043,M+H,2000,0.5
CCMSLIB00000855559,CCMSLIB00000852561,1,591.168,575.174,15.994000000000028,M+Na,2000,0.5
CCMSLIB00000854869,CCMSLIB00000854035,1,638.244,508.202,130.04200000000003,M+NH4,2000,0.5
CCMSLIB00005722536,CCMSLIB00005722470,1,584.249,542.239,42.00999999999999,[M+H]+,2000,0.5
CCMSLIB00005722562,CCMSLIB00005723079,1,361.238,303.232,58.00599999999997,[M-H2O+H]+,2000,0.5
CCMSLIB00000852908,CCMSLIB00000853843,1,421.134,289.092,132.04200000000003,M+H,2000,0.5
CCMSLIB00000851051,CCMSLIB00000850471,1,329.123,287.113,42.00999999999999,M+H,2000,0.5
CCMSLIB00000846798,CCMSLIB00000848399,1,362.16,280.118,82.04200000000003,M+NH4,2000,0.5
CCMSLIB00005722444,CCMSLIB00005722779,1,417.195,396.191,21.00400000000002,[M+Ca]2+,2000,0.5
CCMSLIB00000847120,CCMSLIB00000848355,1,757.218,611.16,146.058,M+H,2000,0.5
CCMSLIB00000847632,CCMSLIB00000847543,1,566.238,524.227,42.01100000000008,M-H2O+H,2000,0.5
CCMSLIB00000852462,CCMSLIB00000855180,1,755.385,713.374,42.01099999999997,M+H,2000,0.5
CCMSLIB00000848861,CCMSLIB00000848450,1,449.108,433.113,15.995000000000005,M+H,2000,0.5
CCMSLIB00005723168,CCMSLIB00005722742,1,695.189,667.157,28.031999999999925,[2M+Na]+,2000,0.5
CCMSLIB00000855484,CCMSLIB00000851230,1,265.143,251.164,13.978999999999985,M+H,2000,0.5
CCMSLIB00000846403,CCMSLIB00000846968,1,595.165,565.155,30.00999999999999,M+H,2000,0.5
CCMSLIB00000848596,CCMSLIB00000845116,1,753.426,639.358,114.0680000000001,M+H,2000,0.5
CCMSLIB00000853070,CCMSLIB00000853064,1,612.301,478.228,134.07300000000004,M+NH4,2000,0.5
CCMSLIB00000848071,CCMSLIB00000848083,1,406.259,390.264,15.995000000000005,M+NH4,2000,0.5
CCMSLIB00000845603,CCMSLIB00000847327,1,432.165,418.15,14.015000000000043,M+NH4,2000,0.5
CCMSLIB00000846627,CCMSLIB00000845118,1,698.396,656.385,42.01099999999997,M+NH4,2000,0.5
CCMSLIB00000847437,CCMSLIB00000848606,1,315.086,299.091,15.995000000000005,M+H,2000,0.5
CCMSLIB00000849018,CCMSLIB00000848655,1,595.144,433.113,162.031,M+H,2000,0.5
CCMSLIB00000853673,CCMSLIB00000853068,1,727.317,595.275,132.04200000000003,M+H,2000,0.5
CCMSLIB00000846570,CCMSLIB00000848689,1,817.419,803.403,14.015999999999963,M+Na,2000,0.5
CCMSLIB00000845303,CCMSLIB00000845056,1,465.102,449.108,15.993999999999971,M+H,2000,0.5
CCMSLIB00000847164,CCMSLIB00000848355,1,625.176,611.16,14.016000000000076,M+H,2000,0.5
CCMSLIB00000848751,CCMSLIB00000848655,1,449.108,433.113,15.995000000000005,M+H,2000,0.5
CCMSLIB00000848266,CCMSLIB00000847556,1,434.181,404.171,30.00999999999999,M+NH4,2000,0.5
CCMSLIB00000849589,CCMSLIB00000850471,1,391.139,287.113,104.02600000000001,M+H,2000,0.5
CCMSLIB00005722454,CCMSLIB00005722779,1,417.195,396.191,21.00400000000002,[M+Ca]2+,2000,0.5
CCMSLIB00000848264,CCMSLIB00000847554,1,417.154,387.144,30.00999999999999,M+H,2000,0.5
CCMSLIB00000846143,CCMSLIB00000848648,1,393.133,377.138,15.995000000000005,M+H,2000,0.5
CCMSLIB00000854069,CCMSLIB00000852769,1,979.487,817.434,162.053,M+Na,2000,0.5
CCMSLIB00000846405,CCMSLIB00000854585,1,597.181,583.202,13.979000000000042,M+H,2000,0.5
CCMSLIB00000848264,CCMSLIB00000847090,1,417.154,335.112,82.04199999999997,M+H,2000,0.5
CCMSLIB00000846526,CCMSLIB00000848214,1,248.186,234.17,14.01600000000002,M+NH4,2000,0.5
CCMSLIB00000845081,CCMSLIB00000845076,1,446.033,412.071,33.96199999999999,M+NH4,2000,0.5
CCMSLIB00000851759,CCMSLIB00000855420,1,476.183,390.147,86.036,M+H,2000,0.5
CCMSLIB00000848525,CCMSLIB00000848249,1,627.155,465.102,162.053,M+H,2000,0.5
CCMSLIB00005722795,CCMSLIB00005722361,1,410.188,339.156,71.03199999999998,[M+Ca]2+,2000,0.5
CCMSLIB00000854310,CCMSLIB00000845662,1,453.212,411.201,42.01099999999997,M+H,2000,0.5
CCMSLIB00000854945,CCMSLIB00000854953,1,689.263,527.21,162.053,M+Na,2000,0.5
CCMSLIB00005722121,CCMSLIB00005722542,1,797.387,598.266,199.12099999999998,[M+Ca-H]+,2000,0.5
CCMSLIB00000855841,CCMSLIB00000855814,1,954.542,940.526,14.016000000000076,M+H,2000,0.5
CCMSLIB00005721756,CCMSLIB00005722031,1,495.331,479.337,15.994000000000028,[M+H]+,2000,0.5
CCMSLIB00000847498,CCMSLIB00000848539,1,363.107,349.092,14.015000000000043,M+H,2000,0.5
CCMSLIB00000848355,CCMSLIB00000845060,1,611.16,595.165,15.995000000000005,M+H,2000,0.5
CCMSLIB00000848347,CCMSLIB00000848536,1,759.198,743.203,15.995000000000005,M+H,2000,0.5
CCMSLIB00000848962,CCMSLIB00000845657,1,223.06,209.044,14.015999999999991,M+H,2000,0.5
CCMSLIB00000850365,CCMSLIB00000851953,1,429.21,413.215,15.995000000000005,M+Na,2000,0.5
CCMSLIB00000846004,CCMSLIB00000845885,1,255.101,187.039,68.06200000000001,M+H,2000,0.5
CCMSLIB00000846403,CCMSLIB00000847842,1,595.165,449.108,146.05699999999996,M+H,2000,0.5
CCMSLIB00005723032,CCMSLIB00005721368,1,640.276,494.239,146.03699999999998,[M+NH4]+,2000,0.5
CCMSLIB00000846594,CCMSLIB00000847508,1,369.118,355.102,14.01600000000002,M+H,2000,0.5
CCMSLIB00000855612,CCMSLIB00000853132,1,238.107,208.097,30.00999999999999,M+H,2000,0.5
CCMSLIB00005722005,CCMSLIB00005722743,1,339.087,323.091,15.995999999999981,[M+H]+,2000,0.5
CCMSLIB00000845158,CCMSLIB00000848573,1,595.165,579.171,15.993999999999915,M+H,2000,0.5
CCMSLIB00000855579,CCMSLIB00000852769,1,833.429,817.434,15.995000000000005,M+Na,2000,0.5
CCMSLIB00000851617,CCMSLIB00000852360,1,833.263,745.231,88.03200000000004,M+Na,2000,0.5
CCMSLIB00000847987,CCMSLIB00000846831,1,415.138,385.128,30.00999999999999,M+H,2000,0.5
CCMSLIB00005721908,CCMSLIB00005722795,1,417.195,410.188,7.007000000000005,[M+Ca]2+,2000,0.5
CCMSLIB00000847616,CCMSLIB00000847695,1,559.123,545.144,13.979000000000042,M+H,2000,0.5
CCMSLIB00000852312,CCMSLIB00000852052,1,309.133,297.17,11.962999999999965,M+H,2000,0.5
CCMSLIB00000848961,CCMSLIB00000845057,1,617.147,471.09,146.05700000000007,M+Na,2000,0.5
CCMSLIB00005722534,CCMSLIB00005722466,1,1189.47,1105.45,84.01999999999998,[2M+Na]+,2000,0.5
CCMSLIB00005722770,CCMSLIB00005722828,1,417.196,402.19,15.006000000000029,[M+Ca]2+,2000,0.5
CCMSLIB00000845662,CCMSLIB00000852052,1,411.201,297.17,114.031,M+H,2000,0.5
CCMSLIB00000845594,CCMSLIB00000848129,1,273.075,259.096,13.978999999999985,M+H,2000,0.5
CCMSLIB00000847880,CCMSLIB00000849089,1,425.196,289.07,136.12600000000003,M+H,2000,0.5
CCMSLIB00000846078,CCMSLIB00000845048,1,401.253,387.237,14.015999999999963,M+H,2000,0.5
CCMSLIB00005722786,CCMSLIB00005722522,1,563.246,549.23,14.015999999999963,[M+K]+,2000,0.5
CCMSLIB00000846978,CCMSLIB00000847844,1,542.317,528.302,14.014999999999986,M+NH4,2000,0.5
CCMSLIB00000848437,CCMSLIB00000848030,1,454.277,440.262,14.014999999999986,M+Na,2000,0.5
CCMSLIB00000855051,CCMSLIB00000853434,1,535.219,465.177,70.04200000000003,M+H,2000,0.5
CCMSLIB00000846803,CCMSLIB00000846413,1,463.087,419.097,43.99000000000001,M+H,2000,0.5
CCMSLIB00000847120,CCMSLIB00000846710,1,757.218,741.223,15.995000000000005,M+H,2000,0.5
CCMSLIB00000847460,CCMSLIB00000847743,1,359.148,277.106,82.04200000000003,M-H2O+H,2000,0.5
CCMSLIB00005721907,CCMSLIB00005722359,1,812.463,656.385,156.07799999999997,[M+NH4]+,2000,0.5
CCMSLIB00000847904,CCMSLIB00000848653,1,435.092,303.05,132.04199999999997,M+H,2000,0.5
CCMSLIB00000854038,CCMSLIB00000848081,1,552.229,390.176,162.05300000000005,M+NH4,2000,0.5
CCMSLIB00000845563,CCMSLIB00000846934,1,405.182,371.221,33.96100000000001,M+H,2000,0.5
CCMSLIB00000851011,CCMSLIB00000853772,1,445.132,429.137,15.995000000000005,M+Na,2000,0.5
CCMSLIB00000847616,CCMSLIB00000848698,1,559.123,543.128,15.995000000000005,M+H,2000,0.5
CCMSLIB00000855717,CCMSLIB00000849271,1,405.263,391.247,14.015999999999963,M-H2O+H,2000,0.5
CCMSLIB00000849451,CCMSLIB00000855659,1,299.2,285.221,13.978999999999985,M-H2O+H,2000,0.5
CCMSLIB00000855184,CCMSLIB00000851883,1,537.158,495.147,42.011000000000024,M+Na,2000,0.5
CCMSLIB00000845998,CCMSLIB00000848548,1,376.176,294.134,82.04199999999997,M+NH4,2000,0.5
CCMSLIB00000847784,CCMSLIB00000848165,1,534.161,372.129,162.03199999999993,M+NH4,2000,0.5
CCMSLIB00000855252,CCMSLIB00000854525,1,477.248,463.233,14.014999999999986,M+H,2000,0.5
CCMSLIB00000847988,CCMSLIB00000848334,1,579.171,549.16,30.01100000000008,M+H,2000,0.5
CCMSLIB00000848637,CCMSLIB00000848450,1,447.092,433.113,13.978999999999985,M+H,2000,0.5
CCMSLIB00005722359,CCMSLIB00005722787,1,656.385,542.317,114.06799999999998,[M+NH4]+,2000,0.5
CCMSLIB00000847399,CCMSLIB00000847228,1,804.292,788.297,15.995000000000005,M+NH4,2000,0.5
CCMSLIB00000852821,CCMSLIB00000854295,1,493.116,413.159,79.957,M+H,2000,0.5
CCMSLIB00000853933,CCMSLIB00000854319,1,335.294,293.283,42.01099999999997,M-H2O+H,2000,0.5
CCMSLIB00005722445,CCMSLIB00005722831,1,777.426,747.416,30.00999999999999,[M-H2O+H]+,2000,0.5
CCMSLIB00005722441,CCMSLIB00005722826,1,833.391,803.381,30.00999999999999,[M+K]+,2000,0.5
CCMSLIB00005722354,CCMSLIB00005722670,1,253.086,223.076,30.01000000000002,[M+H]+,2000,0.5
CCMSLIB00000853891,CCMSLIB00000849514,1,385.2,267.159,118.041,M-H2O+H,2000,0.5
CCMSLIB00000846809,CCMSLIB00000846968,1,741.223,565.155,176.06799999999998,M+H,2000,0.5
CCMSLIB00000848662,CCMSLIB00000846429,1,599.197,467.155,132.04200000000003,M+H,2000,0.5
CCMSLIB00005722331,CCMSLIB00005722160,1,560.38,418.28,142.10000000000002,[M+H]+,2000,0.5
CCMSLIB00000846087,CCMSLIB00000847155,1,581.165,435.128,146.03699999999998,M+H,2000,0.5
CCMSLIB00000853333,CCMSLIB00000853330,1,465.15,451.135,14.014999999999986,M+H,2000,0.5
CCMSLIB00000845196,CCMSLIB00000848180,1,320.134,248.149,71.98500000000001,M+NH4,2000,0.5
CCMSLIB00000850844,CCMSLIB00000851125,1,558.27,516.259,42.01099999999997,M+H,2000,0.5
CCMSLIB00000852837,CCMSLIB00000850337,1,333.205,317.211,15.993999999999971,M-H2O+H,2000,0.5
CCMSLIB00000855406,CCMSLIB00000856056,1,429.227,387.216,42.01099999999997,M-H2O+H,2000,0.5
CCMSLIB00005721908,CCMSLIB00005722361,1,417.195,339.156,78.03899999999999,[M+Ca]2+,2000,0.5
CCMSLIB00000849013,CCMSLIB00000847433,1,301.07,287.055,14.014999999999986,M+H,2000,0.5
CCMSLIB00005722451,CCMSLIB00005722359,1,812.464,656.385,156.07900000000006,[M+NH4]+,2000,0.5
CCMSLIB00000847239,CCMSLIB00000848747,1,374.145,344.134,30.010999999999967,M+NH4,2000,0.5
CCMSLIB00000848157,CCMSLIB00000846075,1,347.076,317.065,30.011000000000024,M+H,2000,0.5
CCMSLIB00005722775,CCMSLIB00005722789,1,735.417,507.28,228.13700000000006,[M-H2O+H]+,2000,0.5
CCMSLIB00000847783,CCMSLIB00000846158,1,517.134,355.102,162.03200000000004,M+H,2000,0.5
CCMSLIB00000850144,CCMSLIB00000852481,1,531.147,515.152,15.995000000000005,M+Na,2000,0.5
CCMSLIB00000848889,CCMSLIB00000848548,1,308.149,294.134,14.014999999999986,M+NH4,2000,0.5
