id_bigger,id_smaller,num_modif_sites,weight_bigger,weight_smaller,difference,adduct,weight_threshold,difference_threshold_rate
CCMSLIB00000085867,CCMSLIB00000085412,1,386.186,268.105,118.08099999999996,M+H,2000,0.5
CCMSLIB00000085985,CCMSLIB00000084784,1,405.225,347.224,58.00100000000003,M+H,2000,0.5
CCMSLIB00000085453,CCMSLIB00000085444,1,319.085,241.172,77.91299999999998,M+H,2000,0.5
CCMSLIB00000085910,CCMSLIB00000084853,1,267.09,233.131,33.958999999999975,M+H,2000,0.5
CCMSLIB00000086018,CCMSLIB00000085361,1,304.191,290.17,14.020999999999958,M+H,2000,0.5
CCMSLIB00000085329,CCMSLIB00000085054,1,405.22,363.215,42.00500000000005,M+H,2000,0.5
CCMSLIB00000086014,CCMSLIB00000085474,1,330.13,296.169,33.96100000000001,M+H,2000,0.5
CCMSLIB00000085717,CCMSLIB00000085276,1,279.148,195.085,84.06300000000002,M+H,2000,0.5
CCMSLIB00000085343,CCMSLIB00000085599,1,267.141,223.123,44.01800000000003,M+H,2000,0.5
CCMSLIB00000086133,CCMSLIB00000086099,1,284.133,268.139,15.993999999999971,M+H,2000,0.5
CCMSLIB00000085976,CCMSLIB00000085263,1,363.214,347.218,15.995999999999981,M+H,2000,0.5
CCMSLIB00000085930,CCMSLIB00000084942,1,369.171,289.217,79.95400000000001,M+H,2000,0.5
CCMSLIB00000084813,CCMSLIB00000085485,1,403.215,361.207,42.00799999999998,M+H,2000,0.5
CCMSLIB00000085954,CCMSLIB00000085084,1,282.071,214.086,67.98500000000001,M+H,2000,0.5
CCMSLIB00000085562,CCMSLIB00000085225,1,372.175,268.103,104.072,M+H,2000,0.5
CCMSLIB00000085038,CCMSLIB00000084845,1,373.237,315.236,58.00100000000003,M+H,2000,0.5
CCMSLIB00000085462,CCMSLIB00000084817,1,285.189,271.172,14.016999999999996,M+H,2000,0.5
CCMSLIB00000085557,CCMSLIB00000085225,1,348.137,268.103,80.03399999999999,M+H,2000,0.5
CCMSLIB00000086162,CCMSLIB00000085560,1,289.232,275.219,14.013000000000034,M+H,2000,0.5
CCMSLIB00000085178,CCMSLIB00000085225,1,386.185,268.103,118.082,M+H,2000,0.5
CCMSLIB00000084748,CCMSLIB00000085565,1,285.078,269.086,15.991999999999962,M+H,2000,0.5
CCMSLIB00000084765,CCMSLIB00000085305,1,825.408,811.414,13.994000000000028,M+H,2000,0.5
CCMSLIB00000085137,CCMSLIB00000084979,1,286.096,268.103,17.992999999999995,M+H,2000,0.5
CCMSLIB00000085544,CCMSLIB00000085123,1,325.168,226.094,99.07400000000001,M+H,2000,0.5
CCMSLIB00000085985,CCMSLIB00000085976,1,405.225,363.214,42.011000000000024,M+H,2000,0.5
CCMSLIB00000085120,CCMSLIB00000085881,1,429.304,315.234,114.07,M+H,2000,0.5
CCMSLIB00000084933,CCMSLIB00000085306,1,405.266,391.242,14.024000000000001,M+H,2000,0.5
CCMSLIB00000085174,CCMSLIB00000086041,1,403.213,361.207,42.00600000000003,M+H,2000,0.5
CCMSLIB00000085414,CCMSLIB00000085997,1,385.24,371.224,14.01600000000002,M+H,2000,0.5
CCMSLIB00000084772,CCMSLIB00000085210,1,495.222,453.208,42.01399999999995,M+H,2000,0.5
CCMSLIB00000085547,CCMSLIB00000085928,1,215.075,191.07,24.004999999999995,M+H,2000,0.5
CCMSLIB00000085922,CCMSLIB00000085822,1,270.185,256.173,14.012,M+H,2000,0.5
CCMSLIB00000085514,CCMSLIB00000085541,1,654.24,576.33,77.90999999999997,M+H,2000,0.5
CCMSLIB00000085557,CCMSLIB00000085412,1,348.137,268.105,80.03199999999998,M+H,2000,0.5
