id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms
CCMSLIB00010122119,CCMSLIB00010123721,0.04,0.555,0.4430500563479145,0.6716129032258061,32
CCMSLIB00010107989,CCMSLIB00010114706,0.02,0.4777777777777778,0.3866619363119357,0.0744444444444443,19
CCMSLIB00010115952,CCMSLIB00010108096,0.04,0.4183333333333333,0.3274136890240773,0.2382608695652175,24
CCMSLIB00010104397,CCMSLIB00010113786,0.02,0.676363636363636,0.6074324065061666,0.5380000000000003,21
CCMSLIB00010105424,CCMSLIB00010118688,0.02,0.682,0.6161354211803562,0.8011111111111114,19
CCMSLIB00010117921,CCMSLIB00010104003,0.08,0.54,0.4270058752569021,0.2825,9
CCMSLIB00010116286,CCMSLIB00010104476,0.04,0.6216666666666666,0.5355303395686876,0.2357894736842106,20
CCMSLIB00010114077,CCMSLIB00010119689,0.1,0.5028571428571428,0.4270017158208037,0.7440000000000001,11
CCMSLIB00010103725,CCMSLIB00010115196,0.04,0.7092307692307694,0.653048689347158,0.6950000000000003,25
CCMSLIB00010103167,CCMSLIB00010126592,0.12,0.3999999999999998,0.286648949646449,0.6254545454545459,12
CCMSLIB00010118870,CCMSLIB00010117367,0.02,0.3888888888888887,0.2813748457843488,0.6315789473684216,20
CCMSLIB00010105875,CCMSLIB00010107710,0.06,0.4422222222222222,0.3577619526408104,0.5644444444444449,19
CCMSLIB00010103327,CCMSLIB00010124699,0.1,0.6742857142857142,0.5995838952038192,0.6890909090909091,12
CCMSLIB00010106013,CCMSLIB00010106699,0.02,0.4236363636363636,0.3124729654585009,0.1620000000000001,21
CCMSLIB00010121278,CCMSLIB00010104729,0.08,0.4419999999999999,0.3296772099301415,0.4622222222222221,19
CCMSLIB00010122390,CCMSLIB00010111657,0.06,0.4599999999999999,0.3741398827890084,0.06,26
CCMSLIB00010111075,CCMSLIB00010111588,0.02,0.5025,0.3945292328615902,0.8400000000000002,13
CCMSLIB00010108688,CCMSLIB00010120945,0.02,0.4199999999999999,0.2922015136201902,0.4629629629629627,28
CCMSLIB00010111669,CCMSLIB00010125677,0.04,0.517142857142857,0.4064416312631045,0.765,13
CCMSLIB00010125867,CCMSLIB00010117459,0.12,0.5457142857142856,0.4658862873629029,0.585,13
CCMSLIB00010126542,CCMSLIB00010114072,0.04,0.7142857142857144,0.6611366752086865,0.1981818181818181,12
CCMSLIB00010111671,CCMSLIB00010124217,0.04,0.4657142857142858,0.3705041824967665,0.185,13
CCMSLIB00010106122,CCMSLIB00010107922,0.04,0.4800000000000001,0.3737900116206846,0.7546666666666668,16
CCMSLIB00010111341,CCMSLIB00010114155,0.08,0.5533333333333336,0.4522579515096119,0.4899999999999997,11
CCMSLIB00010125635,CCMSLIB00010125861,0.12,0.47,0.3762709218411724,0.6254545454545459,12
CCMSLIB00010110234,CCMSLIB00010125923,0.06,0.5979999999999999,0.5000335185301051,0.6486956521739131,24
CCMSLIB00010124701,CCMSLIB00010119951,0.06,0.41375,0.325981992310329,0.7293333333333334,31
CCMSLIB00010104046,CCMSLIB00010103436,0.04,0.3314285714285713,0.2397094984962371,0.1482352941176468,18
CCMSLIB00010119692,CCMSLIB00010111590,0.12,0.635,0.5495371389973195,0.6254545454545459,12
CCMSLIB00010105890,CCMSLIB00010108200,0.04,0.5563636363636363,0.4579650746961151,0.7309999999999998,21
CCMSLIB00010106161,CCMSLIB00010106970,0.04,0.5527272727272727,0.4713376814936517,0.8890000000000002,21
CCMSLIB00010103937,CCMSLIB00010105059,0.04,0.5422222222222222,0.4429232511546923,0.4352941176470585,18
CCMSLIB00010110781,CCMSLIB00010123721,0.04,0.555,0.4430500563479145,0.6716129032258061,32
CCMSLIB00010103688,CCMSLIB00010116394,0.04,0.4960000000000001,0.3884547288334032,0.1944444444444444,19
CCMSLIB00010126826,CCMSLIB00010122662,0.08,0.54,0.4270058752569021,0.2825,9
CCMSLIB00010114943,CCMSLIB00010116687,0.02,0.472,0.3866879271115139,0.2976470588235296,18
CCMSLIB00010126676,CCMSLIB00010126865,0.06,0.5266666666666666,0.4059678624166946,0.4484210526315786,20
CCMSLIB00010116189,CCMSLIB00010118355,0.04,0.4981818181818182,0.4033048358807126,0.6849999999999997,21
CCMSLIB00010107537,CCMSLIB00010106027,0.02,0.3888888888888887,0.2813748457843488,0.6315789473684216,20
CCMSLIB00010103210,CCMSLIB00010103281,0.08,0.5428571428571429,0.4480612201444993,0.1688888888888887,10
CCMSLIB00010111345,CCMSLIB00010108025,0.04,0.5633333333333335,0.4855935166969023,0.0836363636363636,23
CCMSLIB00010115083,CCMSLIB00010125489,0.06,0.5740000000000001,0.4673658872924134,0.9149999999999996,21
