id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,helpers,num_helpers,num_atoms,cosine,matched,shifted,unshifted,weight,delta,peaks,shifted_annotated_ratio,shifted_annotated_ambiguity,shifted_annotated_entropy
CCMSLIB00005464351,CCMSLIB00005464329,0.3333333333333333,1.0,0.8319252490530078,1.0,['CCMSLIB00005464138' 'CCMSLIB00005464298'],2,16,0.44457239846482,7,7,0,227.114,14.015999999999991,16,1.0,2.4285714285714284,0.2178395315091709
CCMSLIB00005464198,CCMSLIB00005464484,1.0,1.0,0.7881006987281055,1.0,[],0,13,0.9163299200609184,2,0,2,181.072,14.015999999999991,7,0.0,-1.0,0.0
CCMSLIB00005463916,CCMSLIB00005464175,0.0,0.0,0.0,0.0,['CCMSLIB00005463953' 'CCMSLIB00005464063' 'CCMSLIB00005464066'],3,9,0.0,0,0,0,121.051,45.98799999999999,1,0.0,-1.0,0.0
CCMSLIB00005464072,CCMSLIB00005464298,0.3333333333333333,1.0,0.8089213360273486,0.8888888888888888,['CCMSLIB00005463936'],1,10,0.0102508009038906,2,0,2,142.097,13.97999999999999,10,0.0,-1.0,0.0
CCMSLIB00005464275,CCMSLIB00005464456,1.0,1.0,0.4848625362362624,1.0,[],0,12,0.653193324512714,8,0,8,180.087,79.95600000000002,40,0.0,-1.0,0.0
CCMSLIB00005464402,CCMSLIB00005464389,0.1,1.0,0.6986198683033107,0.5555555555555556,['CCMSLIB00005464514' 'CCMSLIB00005464568'],2,19,0.6999518155692195,1,1,0,269.088,15.010999999999967,24,1.0,1.0,0.0
CCMSLIB00005464298,CCMSLIB00005464351,0.0,0.6666666666666666,0.515635195665816,0.7,['CCMSLIB00005463936' 'CCMSLIB00005464072' 'CCMSLIB00005464153'],3,11,0.741348793594002,4,1,3,156.077,71.037,4,0.0,-1.0,0.0
CCMSLIB00005463916,CCMSLIB00005463953,0.0,0.0,0.0,0.0,['CCMSLIB00005464066' 'CCMSLIB00005464175'],2,9,0.0,0,0,0,121.051,15.01100000000001,1,0.0,-1.0,0.0
CCMSLIB00005464201,CCMSLIB00005464221,0.125,1.0,0.6064565867425423,0.8181818181818182,['CCMSLIB00005464448'],1,12,0.8477160978422932,5,5,0,166.086,15.994999999999976,5,0.8,1.0,0.0
CCMSLIB00005463920,CCMSLIB00005463968,0.0,0.0,0.0,0.0,['CCMSLIB00005463956' 'CCMSLIB00005463964' 'CCMSLIB00005463972'  'CCMSLIB00005463976' 'CCMSLIB00005463987' 'CCMSLIB00005464014'  'CCMSLIB00005464026' 'CCMSLIB00005464036' 'CCMSLIB00005464055'  'CCMSLIB00005464089' 'CCMSLIB00005464130' 'CCMSLIB00005464188'  'CCMSLIB00005464192' 'CCMSLIB00005464296'],14,8,0.0028285245475378,2,0,2,118.086,15.01100000000001,13,0.0,-1.0,0.0
CCMSLIB00005463556,CCMSLIB00005463563,0.5,1.0,0.923240874201996,1.0,['CCMSLIB00005463613' 'CCMSLIB00005464240' 'CCMSLIB00005464251'],3,12,0.0365081165135269,1,0,1,160.076,44.02600000000001,12,0.0,-1.0,0.0
CCMSLIB00005463940,CCMSLIB00005464088,0.5,1.0,0.8098344142790637,1.0,[],0,8,0.0279157163754555,3,2,1,120.066,13.978999999999983,7,1.0,1.5,0.0990210257942778
CCMSLIB00005463923,CCMSLIB00005464004,0.3333333333333333,1.0,0.7379254543499915,0.8571428571428571,[],0,8,0.1460786601741634,1,1,0,112.051,14.015,2,1.0,3.0,0.4054651081081644
CCMSLIB00005464407,CCMSLIB00005464425,0.125,1.0,0.6623600826298774,0.8571428571428571,['CCMSLIB00005464109' 'CCMSLIB00005464474'],2,15,0.9956167597170502,8,8,0,205.097,15.995000000000005,14,0.875,1.2857142857142858,0.0990210257942778
CCMSLIB00005463873,CCMSLIB00005463901,0.3333333333333333,1.0,0.7257329429275249,1.0,['CCMSLIB00005464584'],1,25,0.0865713665343757,39,23,16,347.222,13.979000000000042,69,0.3043478260869565,5.571428571428571,0.1025044584205752
CCMSLIB00005463987,CCMSLIB00005464014,0.2,1.0,0.5856953007451912,0.5,['CCMSLIB00005463920'],1,9,0.0355627905635138,1,1,0,132.102,15.010999999999996,10,1.0,1.0,0.0
CCMSLIB00005464251,CCMSLIB00005463566,0.1,1.0,0.5769128744559905,0.8333333333333334,['CCMSLIB00005463556' 'CCMSLIB00005464117' 'CCMSLIB00005463563'  'CCMSLIB00005463613'],4,13,1.0,1,1,0,176.071,15.995000000000005,1,1.0,1.0,0.0
CCMSLIB00005463927,CCMSLIB00005463957,0.25,1.0,0.8109980767958409,0.8571428571428571,['CCMSLIB00005463968' 'CCMSLIB00005463972' 'CCMSLIB00005464089'  'CCMSLIB00005464130' 'CCMSLIB00005464296'],5,8,0.173464954867885,5,4,1,118.086,13.980000000000004,22,0.75,1.0,0.0
