id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms,cosine_true_site
CCMSLIB00005464351,CCMSLIB00005464329,0.0,0.2222222222222222,0.0920401894001632,0.6,16,0.0
CCMSLIB00005464198,CCMSLIB00005464484,0.0,0.0,0.0,0.0,13,0.0
CCMSLIB00005463916,CCMSLIB00005464175,0.0,0.5,0.3678796251111169,0.625,9,0.0
CCMSLIB00005464072,CCMSLIB00005464298,0.0,0.8333333333333334,0.818730785827206,0.2222222222222222,10,0.0
CCMSLIB00005464275,CCMSLIB00005464456,0.0,0.0,0.0,0.0,12,0.0
CCMSLIB00005464402,CCMSLIB00005464389,0.0,0.1111111111111111,0.0362234132989804,0.1111111111111111,19,0.0
CCMSLIB00005464298,CCMSLIB00005464351,0.0,0.5,0.5401923864097199,0.9,11,0.0542388419825681
CCMSLIB00005463916,CCMSLIB00005463953,0.0,0.0,0.0,0.0,9,0.0
CCMSLIB00005464201,CCMSLIB00005464221,0.0,0.0,0.1200236294129832,0.3636363636363636,12,0.0
CCMSLIB00005463920,CCMSLIB00005463968,0.0,0.0,0.0,0.0,8,0.0
CCMSLIB00005463556,CCMSLIB00005463563,1.0,1.0,0.7035517842587927,1.0,12,0.0275688628910319
CCMSLIB00005463940,CCMSLIB00005464088,0.0,0.2,0.1829447230827379,0.7142857142857143,8,0.0137006855244471
CCMSLIB00005463923,CCMSLIB00005464004,0.0,0.0,0.0,0.0,8,0.0
CCMSLIB00005464407,CCMSLIB00005464425,0.0,0.25,0.0467677882478748,0.5714285714285714,15,0.0
CCMSLIB00005463873,CCMSLIB00005463901,0.0,0.5,0.4594935266963591,0.5,25,0.0
CCMSLIB00005463987,CCMSLIB00005464014,0.0,0.0,3.1005001009611616e-05,0.0,9,0.0
CCMSLIB00005464251,CCMSLIB00005463566,0.0,0.1428571428571428,0.0024787670492091,0.75,13,0.0
CCMSLIB00005463927,CCMSLIB00005463957,0.0,0.6666666666666666,0.4563137364647471,0.1428571428571428,8,0.0
CCMSLIB00005464402,CCMSLIB00005464514,0.0,0.5555555555555556,0.6397379238261462,0.9444444444444444,19,0.2146144171391164
CCMSLIB00005464117,CCMSLIB00005464251,0.0,0.8571428571428571,0.8481833418423371,0.9090909090909092,12,0.0046447515371413
CCMSLIB00005464228,CCMSLIB00005464127,1.0,1.0,0.662044291645154,1.0,13,0.173153933651563
CCMSLIB00005464040,CCMSLIB00005464481,0.0,0.0,0.011945466699258,0.0,9,0.0
CCMSLIB00005463914,CCMSLIB00005464089,0.0,0.0,0.0,0.7142857142857143,8,0.0
CCMSLIB00005463927,CCMSLIB00005463976,0.0,0.6666666666666666,0.4223494442998443,0.1428571428571428,8,0.0
CCMSLIB00005463595,CCMSLIB00005463542,0.0,0.8,0.8256243411416396,0.8571428571428571,8,0.0243553617796909
CCMSLIB00005464262,CCMSLIB00005464269,0.0,0.3333333333333333,0.4428348904530902,0.6363636363636364,12,0.0
CCMSLIB00005464407,CCMSLIB00005464474,1.0,1.0,0.8267903741937962,1.0,15,0.2774613275954624
CCMSLIB00005463613,CCMSLIB00005463563,1.0,1.0,0.4722541871469056,1.0,14,0.4907413330469423
CCMSLIB00005463914,CCMSLIB00005464036,0.0,0.0,0.0,0.5714285714285714,8,0.0
CCMSLIB00005464504,CCMSLIB00005464534,0.0,0.4545454545454545,0.574667520136563,0.9047619047619048,22,0.3663828272813291
CCMSLIB00005463979,CCMSLIB00005464115,0.0,0.5,0.2470820361595587,0.0,10,0.0
CCMSLIB00005463994,CCMSLIB00005464221,0.0,0.8571428571428571,0.7316850940109395,0.0,10,0.0
CCMSLIB00005464088,CCMSLIB00005464087,0.0,0.2,0.3312331438910088,0.75,9,0.2032217147548073
CCMSLIB00005463951,CCMSLIB00005464388,0.0,0.8888888888888888,0.8158926069135158,0.8888888888888888,10,0.0337076780682106
CCMSLIB00005463931,CCMSLIB00005464055,0.0,0.0,0.0010607602571806,0.0,8,0.0
CCMSLIB00005464368,CCMSLIB00005464474,1.0,1.0,0.8297730338268148,1.0,15,0.2850169769473853
CCMSLIB00005464146,CCMSLIB00005464469,0.0,0.1666666666666666,0.3388333072551713,0.9090909090909092,12,0.1121373840921489
CCMSLIB00005463961,CCMSLIB00005464219,0.0,0.1428571428571428,0.0515726542429379,0.9,11,0.0159806015108034
CCMSLIB00005464117,CCMSLIB00005464177,0.0,0.8571428571428571,0.8488436567689286,0.9090909090909092,12,0.0049053446932428
CCMSLIB00005464298,CCMSLIB00005464153,0.0,0.0,0.0,0.5,11,0.0
CCMSLIB00005463959,CCMSLIB00005464082,0.0,0.2,0.0183157121513629,0.2222222222222222,10,0.0
CCMSLIB00005464014,CCMSLIB00005464128,0.0,0.5714285714285714,0.4168631412481156,0.7777777777777778,10,0.0630060193143004
CCMSLIB00005463920,CCMSLIB00005464055,0.0,0.4,0.223130327496029,0.2857142857142857,8,0.0
CCMSLIB00005464397,CCMSLIB00005464534,1.0,1.0,1.0,1.0,18,0.3711398720077941
CCMSLIB00005464240,CCMSLIB00005463613,1.0,1.0,0.5293953347733185,1.0,13,0.3964105752572747
CCMSLIB00005464368,CCMSLIB00005464425,0.0,0.25,0.0475371319621984,0.5714285714285714,15,0.0
CCMSLIB00005463920,CCMSLIB00005463972,0.0,0.0,0.0060247399643222,0.8571428571428571,8,0.0019265537495514
CCMSLIB00005463584,CCMSLIB00005464269,0.0,0.3333333333333333,0.1353354185718959,0.4545454545454545,12,0.0
CCMSLIB00005463556,CCMSLIB00005463613,0.0,0.2857142857142857,0.2010478863462701,0.5454545454545454,12,0.013999851685765
CCMSLIB00005463556,CCMSLIB00005464251,1.0,1.0,0.9542386008353058,1.0,12,0.0160479379834164
CCMSLIB00005464109,CCMSLIB00005464120,0.0,0.1428571428571428,0.0631168156921142,0.9090909090909092,12,0.0081667045322312
CCMSLIB00005464219,CCMSLIB00005464437,0.0,0.8571428571428571,0.7373973574324741,0.6363636363636364,12,0.0
CCMSLIB00005464072,CCMSLIB00005464138,0.0,0.8333333333333334,0.818730785827206,0.2222222222222222,10,0.0
CCMSLIB00005464138,CCMSLIB00005464351,0.0,0.5,0.5453590644359708,0.9,11,0.0568745452462013
CCMSLIB00005464104,CCMSLIB00005464087,0.0,0.2,0.3370609785355108,0.75,9,0.2109998880796927
CCMSLIB00005463920,CCMSLIB00005464192,0.0,0.0,0.0,0.0,8,0.0
CCMSLIB00005464514,CCMSLIB00005464563,0.0,0.4545454545454545,0.1348434886782746,0.0909090909090909,23,0.0
CCMSLIB00005464402,CCMSLIB00005464568,0.0,0.5555555555555556,0.6397379238261462,0.9444444444444444,19,0.2146144171391164
CCMSLIB00005463940,CCMSLIB00005464104,0.0,0.2,0.1829447230827379,0.7142857142857143,8,0.0137006855244471
CCMSLIB00005464008,CCMSLIB00005463984,1.0,1.0,1.0,1.0,9,0.0049718645413016
CCMSLIB00005463899,CCMSLIB00005464416,0.0,0.25,0.0497871430484851,0.8181818181818182,12,0.0
CCMSLIB00005463920,CCMSLIB00005464188,0.0,0.0,0.0181620846559075,0.0,8,0.0
CCMSLIB00005464568,CCMSLIB00005464563,0.0,0.4545454545454545,0.1348434886782746,0.0909090909090909,23,0.0
CCMSLIB00005463994,CCMSLIB00005464219,0.0,0.7142857142857143,0.4089400348552667,0.4444444444444444,10,0.0
CCMSLIB00005464053,CCMSLIB00005464040,0.0,0.0,0.0628058063142015,0.8571428571428571,8,0.0383592653400647
CCMSLIB00005463873,CCMSLIB00005464584,0.0,0.5,0.4599981252246878,0.5,25,0.0
CCMSLIB00005463936,CCMSLIB00005464072,0.0,0.8,0.5819933447826936,0.0,8,0.0
CCMSLIB00005464240,CCMSLIB00005463566,0.0,0.1428571428571428,0.0024787670492091,0.75,13,0.0
CCMSLIB00005463885,CCMSLIB00005463907,0.0,0.1538461538461538,0.0040867826770953,0.4545454545454545,23,0.0
CCMSLIB00005464008,CCMSLIB00005464257,0.0,0.4,0.2862787455278054,0.5,9,0.0
CCMSLIB00005464234,CCMSLIB00005464469,0.0,0.1666666666666666,0.3163765927343609,0.9090909090909092,12,0.1594375259359623
CCMSLIB00005464120,CCMSLIB00005464425,0.0,0.8571428571428571,0.8157680432120056,0.0,13,0.0
CCMSLIB00005464109,CCMSLIB00005464407,0.0,0.8571428571428571,0.6633099426223316,0.0,12,0.0
CCMSLIB00005463927,CCMSLIB00005463972,0.0,0.8333333333333334,0.5575040479528541,0.0,8,0.0
CCMSLIB00005464568,CCMSLIB00005464489,0.0,0.4545454545454545,0.1673250506422055,0.0909090909090909,23,0.0
CCMSLIB00005464250,CCMSLIB00005464484,0.0,0.0,0.0,0.0,13,0.0
CCMSLIB00005464109,CCMSLIB00005464204,1.0,1.0,1.0,1.0,12,0.379886785548804
CCMSLIB00005463890,CCMSLIB00005464584,0.0,0.0,0.0,0.0,25,0.0
CCMSLIB00005464109,CCMSLIB00005464327,0.0,0.8571428571428571,0.8464817484039917,0.0,12,0.0
CCMSLIB00005463985,CCMSLIB00005464388,0.0,0.8888888888888888,0.8161956955767321,0.8888888888888888,10,0.0333090170887923
CCMSLIB00005463552,CCMSLIB00005464419,0.0,0.0,0.0138200093454522,0.7333333333333333,16,0.0
CCMSLIB00005464146,CCMSLIB00005464456,0.0,0.0,0.0,0.0,12,0.0
CCMSLIB00005463920,CCMSLIB00005463964,0.0,0.2,0.0183157121513629,0.1428571428571428,8,0.0
CCMSLIB00005463936,CCMSLIB00005464097,0.0,0.2,0.0183157121513629,0.8571428571428571,8,0.0
CCMSLIB00005464120,CCMSLIB00005463552,1.0,1.0,0.9475292118683584,1.0,13,0.5228811346101999
CCMSLIB00005464534,CCMSLIB00005464498,0.0,0.7272727272727273,0.6019099178556322,0.9090909090909092,23,0.0603357827179366
CCMSLIB00005464443,CCMSLIB00005464589,0.0,0.3333333333333333,0.3216705654356726,0.6842105263157895,20,0.0022788948595555
CCMSLIB00005464384,CCMSLIB00005464404,1.0,1.0,0.7116814845865035,1.0,16,0.3474507217965269
CCMSLIB00005463968,CCMSLIB00005464021,0.0,0.1666666666666666,0.369062094650765,0.0,9,0.0
CCMSLIB00005464230,CCMSLIB00005464425,0.0,0.8571428571428571,0.8157680432120056,0.8333333333333334,13,0.0
CCMSLIB00005463917,CCMSLIB00005463946,0.0,0.25,0.0497872177291437,0.3333333333333333,7,0.0
CCMSLIB00005464230,CCMSLIB00005463552,1.0,1.0,0.9475292118683584,1.0,13,0.5215032814850773
CCMSLIB00005464389,CCMSLIB00005464489,0.0,0.8888888888888888,0.6614803862579027,0.9473684210526316,20,0.5333649309722642
CCMSLIB00005463920,CCMSLIB00005464130,0.0,0.4,0.5624293460268253,0.8571428571428571,8,0.3748249883331701
CCMSLIB00005464221,CCMSLIB00005464418,0.0,0.375,0.2662193322994156,0.25,13,0.0
CCMSLIB00005464397,CCMSLIB00005464314,0.0,0.5,0.6383910913841386,0.9411764705882352,18,0.5607118590385565
CCMSLIB00005464104,CCMSLIB00005464182,0.0,0.2,0.2177176345153505,0.75,9,0.1024887980854437
