id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms,cosine,matched,shifted,unshifted,weight,delta,peaks,shifted_annotated_ratio,shifted_annotated_ambiguity,shifted_annotated_entropy
CCMSLIB00000085060,CCMSLIB00000085976,0.0,0.75,0.6166766559331849,0.4583333333333333,25,0.4520310945329276,54,16,38,347.22,15.993999999999971,98,0.9375,4.0,0.4000775296435281
CCMSLIB00000085084,CCMSLIB00000085954,0.0,0.25,0.0223019432738386,0.7333333333333333,16,0.7606189553570339,8,1,7,214.086,67.98500000000001,15,1.0,1.0,0.0
CCMSLIB00000085225,CCMSLIB00000085178,0.0,0.2222222222222222,0.0403563062693413,0.0,19,0.7250478070685041,3,1,2,268.103,118.082,55,0.0,-1.0,0.0
CCMSLIB00000086061,CCMSLIB00000086012,0.1428571428571428,1.0,0.8001553488307903,1.0,22,0.0924913739765109,6,1,5,295.113,14.012999999999977,51,0.0,-1.0,0.0
CCMSLIB00000085239,CCMSLIB00000085088,0.0,0.8181818181818182,0.764456924783219,0.7142857142857143,22,0.5620248165699518,59,31,28,299.199,14.017999999999972,98,0.6451612903225806,7.05,0.6359445059273326
CCMSLIB00000085703,CCMSLIB00000085565,1.0,1.0,0.2763433176579286,1.0,19,0.2446550303010224,38,11,27,255.067,14.019000000000004,87,0.7272727272727273,7.375,0.3020626783945911
CCMSLIB00000084979,CCMSLIB00000086051,0.0,0.0,0.0,0.0,19,0.0077230915429487,1,1,0,268.103,33.96800000000002,47,0.0,-1.0,0.0
CCMSLIB00000085276,CCMSLIB00000084738,0.0,0.0,0.0,0.0,14,0.0026340754937711,1,0,1,195.085,60.025000000000006,72,0.0,-1.0,0.0
CCMSLIB00000084979,CCMSLIB00000085131,0.0,0.7777777777777778,0.6078131787987037,0.5,19,0.9281686030902996,2,2,0,268.103,76.03499999999997,47,1.0,4.0,0.1694887668533154
CCMSLIB00000085225,CCMSLIB00000085643,0.0,0.6666666666666666,0.6455870080978809,0.5,19,0.0603665703335931,3,3,0,268.103,91.048,55,0.6666666666666666,4.5,0.1628333694067234
CCMSLIB00000084950,CCMSLIB00000085697,0.0,0.8571428571428571,0.695824834398903,0.9642857142857144,29,0.6002473547597605,58,1,57,405.228,84.09899999999999,100,1.0,3.0,0.0572862751465331
CCMSLIB00000086094,CCMSLIB00000085210,0.0,0.5833333333333334,0.4814875069698801,0.0666666666666666,31,0.6654719663616772,52,2,50,435.226,17.982000000000028,100,1.0,2.5,0.0150407739677627
CCMSLIB00000084845,CCMSLIB00000085319,0.0,0.5454545454545454,0.6530724960623978,0.9545454545454546,23,0.3817039248435994,44,4,40,315.236,15.985000000000014,97,0.0,-1.0,0.0
CCMSLIB00000085319,CCMSLIB00000084784,0.0,0.6363636363636364,0.6286746915290093,0.6956521739130435,24,0.584744803347959,46,6,40,331.221,16.002999999999986,99,0.8333333333333334,6.6,0.1290473675473148
CCMSLIB00000084979,CCMSLIB00000085643,0.0,0.0,0.0,0.0,19,0.0096935238738427,1,1,0,268.103,91.048,47,0.0,-1.0,0.0
CCMSLIB00000084903,CCMSLIB00000085210,0.0,0.4166666666666667,0.4753890208880426,0.0666666666666666,31,0.6559967354827574,56,5,51,435.222,17.986000000000047,100,0.8,2.0,0.0219722457733621
CCMSLIB00000084784,CCMSLIB00000085976,0.0,0.4545454545454545,0.3716998632645616,0.7083333333333334,25,0.603882665868948,53,9,44,347.224,15.990000000000007,99,1.0,2.111111111111111,0.31758323464534
CCMSLIB00000085985,CCMSLIB00000085212,0.0,0.8571428571428571,0.6995149797925423,0.9642857142857144,29,0.7504453719509037,63,0,63,405.225,58.00599999999997,100,0.0,-1.0,0.0
CCMSLIB00000084979,CCMSLIB00000085335,0.0,0.2222222222222222,0.0403563062693413,0.0,19,0.7904356497154631,2,0,2,268.103,68.05899999999997,47,0.0,-1.0,0.0
CCMSLIB00000084853,CCMSLIB00000085910,0.0,0.7,0.2467746547070421,0.5,17,0.3463928968678292,14,6,8,233.131,33.958999999999975,30,0.8333333333333334,3.8,0.1959637686057693
CCMSLIB00000086149,CCMSLIB00000085876,0.1666666666666666,1.0,0.768570483474575,0.6875,17,0.0624952421279742,3,1,2,271.035,14.014999999999986,59,1.0,1.0,0.0
