id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,helpers,num_helpers,num_atoms,cosine,matched,shifted,unshifted,weight,delta,peaks,shifted_annotated_ratio,shifted_annotated_ambiguity,shifted_annotated_entropy
CCMSLIB00000085060,CCMSLIB00000085976,1.0,1.0,0.775920524055197,1.0,['CCMSLIB00000085114' 'CCMSLIB00000085500' 'CCMSLIB00000085485'],3,25,0.4520310945329276,54,16,38,347.22,15.993999999999971,98,0.9375,13.533333333333331,0.5551195851138899
CCMSLIB00000085084,CCMSLIB00000085954,0.0,0.25,0.0223019432738386,0.7333333333333333,[],0,16,0.7606189553570339,8,1,7,214.086,67.98500000000001,15,1.0,1.0,0.0
CCMSLIB00000085225,CCMSLIB00000085178,0.0,0.4444444444444444,0.0720487636377446,0.0,['CCMSLIB00000085131' 'CCMSLIB00000085137' 'CCMSLIB00000085190'  'CCMSLIB00000085335' 'CCMSLIB00000085557' 'CCMSLIB00000085562'  'CCMSLIB00000085643' 'CCMSLIB00000085793' 'CCMSLIB00000085939'  'CCMSLIB00000086051'],10,19,0.7250478070685041,3,1,2,268.103,118.082,55,0.0,-1.0,0.0
CCMSLIB00000086061,CCMSLIB00000086012,0.1428571428571428,1.0,0.8001553488307903,1.0,[],0,22,0.0924913739765109,6,1,5,295.113,14.012999999999977,51,0.0,-1.0,0.0
CCMSLIB00000085239,CCMSLIB00000085088,1.0,1.0,0.8372764956592849,1.0,['CCMSLIB00000085789'],1,22,0.5620248165699518,59,31,28,299.199,14.017999999999972,98,0.6451612903225806,13.65,0.5415694146123007
CCMSLIB00000085703,CCMSLIB00000085565,1.0,1.0,0.7739619970774402,1.0,[],0,19,0.2446550303010224,38,11,27,255.067,14.019000000000004,87,0.6363636363636364,1.8571428571428568,0.0557704628036737
CCMSLIB00000084979,CCMSLIB00000086051,0.0,0.0,0.0,0.0,['CCMSLIB00000085131' 'CCMSLIB00000085137' 'CCMSLIB00000085178'  'CCMSLIB00000085190' 'CCMSLIB00000085335' 'CCMSLIB00000085557'  'CCMSLIB00000085562' 'CCMSLIB00000085643' 'CCMSLIB00000085793'  'CCMSLIB00000085867' 'CCMSLIB00000085939'],11,19,0.0077230915429487,1,1,0,268.103,33.96800000000002,47,0.0,-1.0,0.0
CCMSLIB00000085276,CCMSLIB00000084738,0.0,0.3333333333333333,0.0473577997535889,0.0,['CCMSLIB00000084951' 'CCMSLIB00000085282' 'CCMSLIB00000085275'  'CCMSLIB00000085717' 'CCMSLIB00000085915'],5,14,0.0026340754937711,1,0,1,195.085,60.025000000000006,72,0.0,-1.0,0.0
CCMSLIB00000084979,CCMSLIB00000085131,0.1666666666666666,1.0,0.6744284986549007,0.7222222222222222,['CCMSLIB00000085137' 'CCMSLIB00000085178' 'CCMSLIB00000085190'  'CCMSLIB00000085335' 'CCMSLIB00000085557' 'CCMSLIB00000085562'  'CCMSLIB00000085643' 'CCMSLIB00000085793' 'CCMSLIB00000085867'  'CCMSLIB00000085939' 'CCMSLIB00000086051'],11,19,0.9281686030902996,2,2,0,268.103,76.03499999999997,47,1.0,2.5,0.0183626854756455
CCMSLIB00000085225,CCMSLIB00000085643,0.2,1.0,0.7307512064021342,0.8333333333333334,['CCMSLIB00000085131' 'CCMSLIB00000085137' 'CCMSLIB00000085178'  'CCMSLIB00000085190' 'CCMSLIB00000085335' 'CCMSLIB00000085557'  'CCMSLIB00000085562' 'CCMSLIB00000085793' 'CCMSLIB00000085867'  'CCMSLIB00000085939' 'CCMSLIB00000086051'],11,19,0.0603665703335931,3,3,0,268.103,91.048,55,0.6666666666666666,2.5,0.0156917494064607
