id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms
CCMSLIB00005464351,CCMSLIB00005464329,0.04,0.5599999999999998,0.4579565308603489,0.7546666666666668,16
CCMSLIB00005464198,CCMSLIB00005464484,0.1,0.5866666666666663,0.4818459566799652,0.6416666666666664,13
CCMSLIB00005463916,CCMSLIB00005464175,0.12,0.53,0.4098412912892834,0.5975,9
CCMSLIB00005464072,CCMSLIB00005464298,0.08,0.56,0.4684145914960557,0.262222222222222,10
CCMSLIB00005464275,CCMSLIB00005464456,0.12,0.3999999999999998,0.286648949646449,0.6254545454545459,12
CCMSLIB00005464402,CCMSLIB00005464389,0.08,0.5222222222222223,0.4176767001679,0.1811111111111109,19
CCMSLIB00005464298,CCMSLIB00005464351,0.1,0.5299999999999999,0.4154980736391392,0.1,11
CCMSLIB00005463916,CCMSLIB00005463953,0.12,0.53,0.4098412912892834,0.5975,9
CCMSLIB00005464201,CCMSLIB00005464221,0.04,0.5085714285714287,0.4286273456075963,0.5127272727272725,12
CCMSLIB00005463920,CCMSLIB00005463968,0.16,0.4119999999999998,0.3325503417265672,0.16,8
CCMSLIB00005463556,CCMSLIB00005463563,0.08,0.5457142857142858,0.4402902886585344,0.1545454545454544,12
CCMSLIB00005463940,CCMSLIB00005464088,0.2,0.5479999999999998,0.4378807612777758,0.4942857142857142,8
CCMSLIB00005463923,CCMSLIB00005464004,0.06,0.53,0.4424163610322184,0.2885714285714287,8
CCMSLIB00005464407,CCMSLIB00005464425,0.08,0.565,0.4707841144928033,0.618571428571429,15
CCMSLIB00005463873,CCMSLIB00005463901,0.04,0.7116666666666666,0.6602254725337944,0.4616666666666665,25
CCMSLIB00005463987,CCMSLIB00005464014,0.14,0.4166666666666667,0.3396365044778215,0.14,9
CCMSLIB00005464251,CCMSLIB00005463566,0.04,0.517142857142857,0.4064416312631045,0.765,13
CCMSLIB00005463927,CCMSLIB00005463957,0.06,0.6333333333333332,0.5468939844760956,0.2885714285714287,8
CCMSLIB00005464402,CCMSLIB00005464514,0.12,0.4733333333333334,0.3784338836004549,0.12,19
CCMSLIB00005464117,CCMSLIB00005464251,0.08,0.5457142857142858,0.4402902886585344,0.1545454545454544,12
CCMSLIB00005464228,CCMSLIB00005464127,0.02,0.6171428571428573,0.5298317216872874,0.8400000000000002,13
CCMSLIB00005464040,CCMSLIB00005464481,0.14,0.4166666666666667,0.3396365044778215,0.14,9
CCMSLIB00005463914,CCMSLIB00005464089,0.1,0.48,0.4096095504113501,0.765714285714286,8
CCMSLIB00005463927,CCMSLIB00005463976,0.06,0.6333333333333332,0.5468939844760956,0.2885714285714287,8
CCMSLIB00005463595,CCMSLIB00005463542,0.12,0.6080000000000002,0.51852773131676,0.2228571428571427,8
CCMSLIB00005464262,CCMSLIB00005464269,0.1,0.6099999999999999,0.5122860472969828,0.6890909090909091,12
CCMSLIB00005464407,CCMSLIB00005464474,0.08,0.525,0.417908263631869,0.08,15
CCMSLIB00005463613,CCMSLIB00005463563,0.1,0.4975,0.3866266512113261,0.1,14
CCMSLIB00005463914,CCMSLIB00005464036,0.12,0.465,0.3873867814014035,0.6600000000000005,8
CCMSLIB00005464504,CCMSLIB00005464534,0.02,0.6236363636363633,0.5358852737575455,0.4209523809523808,22
CCMSLIB00005463979,CCMSLIB00005464115,0.12,0.5733333333333334,0.4750157329986852,0.12,10
CCMSLIB00005463994,CCMSLIB00005464221,0.08,0.5942857142857144,0.5100169696072973,0.1688888888888887,10
CCMSLIB00005464088,CCMSLIB00005464087,0.14,0.504,0.3760229657057773,0.14,9
CCMSLIB00005463951,CCMSLIB00005464388,0.12,0.5111111111111112,0.4315788168801623,0.12,10
CCMSLIB00005463931,CCMSLIB00005464055,0.16,0.43,0.351589912897322,0.16,8
CCMSLIB00005464368,CCMSLIB00005464474,0.08,0.525,0.417908263631869,0.08,15
CCMSLIB00005464146,CCMSLIB00005464469,0.04,0.37,0.2450198710647596,0.9127272727272724,12
CCMSLIB00005463961,CCMSLIB00005464219,0.1,0.5714285714285716,0.4751141275991177,0.824,11
CCMSLIB00005464117,CCMSLIB00005464177,0.08,0.5457142857142858,0.4402902886585344,0.1545454545454544,12
