id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms
CCMSLIB00005722743,CCMSLIB00005723167,0.02,0.466,0.3653300892258896,0.3860869565217391,24
CCMSLIB00000848432,CCMSLIB00000847704,0.02,0.5186666666666666,0.4107666540038769,0.3304761904761907,22
CCMSLIB00000846916,CCMSLIB00000849097,0.04,0.45875,0.3434059735694851,0.04,31
CCMSLIB00000855849,CCMSLIB00000852830,0.04,0.7493333333333335,0.7015981442739075,0.6389999999999999,21
CCMSLIB00000846944,CCMSLIB00000848126,0.0,0.4653333333333334,0.3323796650688615,0.2609999999999999,41
CCMSLIB00000846995,CCMSLIB00000846563,0.06,0.434782608695652,0.3179771313089903,0.5057692307692302,53
CCMSLIB00000852196,CCMSLIB00000852853,0.04,0.6388888888888888,0.5564420576655158,0.6138888888888885,37
CCMSLIB00000847487,CCMSLIB00000848732,0.02,0.5916666666666666,0.4920114743479826,0.5930434782608698,24
CCMSLIB00000847638,CCMSLIB00000847090,0.12,0.4599999999999998,0.3395276050860195,0.12,18
CCMSLIB00000847155,CCMSLIB00000846823,0.04,0.6626666666666668,0.590489684898204,0.5673333333333336,31
CCMSLIB00000846083,CCMSLIB00000848573,0.02,0.3917647058823528,0.2921204863280417,0.2748717948717948,40
CCMSLIB00005721819,CCMSLIB00000845216,0.02,0.4355555555555556,0.3610339005749879,0.2309090909090907,23
CCMSLIB00000848249,CCMSLIB00000848525,0.04,0.4083333333333334,0.3106328332726988,0.896875,33
CCMSLIB00005721717,CCMSLIB00000845854,0.02,0.4415384615384614,0.3108166184681393,0.723125,33
CCMSLIB00000854975,CCMSLIB00000846158,0.02,0.5714285714285715,0.4700960795140139,0.2634782608695651,24
CCMSLIB00000847842,CCMSLIB00000846155,0.04,0.3633333333333333,0.2348383439025468,0.04,32
CCMSLIB00000845303,CCMSLIB00000848486,0.0,0.4316666666666668,0.3127575764992824,0.275,33
CCMSLIB00000853643,CCMSLIB00000852853,0.02,0.54,0.4315038303915953,0.4172222222222224,37
CCMSLIB00000847437,CCMSLIB00000847486,0.06,0.5766666666666667,0.4720339532210666,0.180909090909091,23
CCMSLIB00000848325,CCMSLIB00005721756,0.04,0.5973333333333336,0.5060018601539018,0.6193939393939389,34
CCMSLIB00005721457,CCMSLIB00000845561,0.08,0.442222222222222,0.3296670652299127,0.08,25
CCMSLIB00000848337,CCMSLIB00005721643,0.02,0.5219999999999999,0.4050838181592771,0.3030000000000002,21
CCMSLIB00000847409,CCMSLIB00000852272,0.0,0.4366666666666666,0.3397442483749059,0.5871428571428576,29
CCMSLIB00000848585,CCMSLIB00000852883,0.02,0.5283333333333333,0.415431389864395,0.453076923076923,27
CCMSLIB00005722357,CCMSLIB00005722791,0.02,0.5971428571428571,0.5064378401078231,0.6334883720930229,44
CCMSLIB00000845303,CCMSLIB00000845058,0.08,0.4916666666666666,0.3850635197405022,0.761875,33
CCMSLIB00000851195,CCMSLIB00000855777,0.06,0.5644444444444447,0.4984648132693002,0.7111111111111108,19
CCMSLIB00000854301,CCMSLIB00000849933,0.06,0.4528571428571428,0.3654161878756344,0.06,28
CCMSLIB00000847638,CCMSLIB00000848691,0.12,0.4599999999999998,0.3395276050860195,0.12,18
CCMSLIB00000847613,CCMSLIB00000847772,0.08,0.5461538461538461,0.4314881617173482,0.2554838709677418,32
CCMSLIB00000848420,CCMSLIB00000847379,0.08,0.5444444444444446,0.4629488363230467,0.6800000000000006,18
CCMSLIB00000848128,CCMSLIB00000848899,0.04,0.5733333333333335,0.4970094192506391,0.43875,17
CCMSLIB00000846091,CCMSLIB00000845489,0.1,0.5555555555555557,0.4540502069650983,0.4866666666666662,16
CCMSLIB00000846413,CCMSLIB00000845056,0.0,0.5116666666666665,0.389233355311148,0.8668965517241375,30
CCMSLIB00000848751,CCMSLIB00000848278,0.04,0.4733333333333332,0.3532736125653775,0.7367741935483866,32
