id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms
CCMSLIB00000085060,CCMSLIB00000085976,0.06,0.7233333333333334,0.6752230602268205,0.8141666666666667,25
CCMSLIB00000085084,CCMSLIB00000085954,0.06,0.455,0.3303921003419903,0.8786666666666669,16
CCMSLIB00000085225,CCMSLIB00000085178,0.12,0.5422222222222222,0.4482383458309211,0.12,19
CCMSLIB00000086061,CCMSLIB00000086012,0.04,0.6400000000000002,0.5573357056164938,0.3885714285714285,22
CCMSLIB00000085239,CCMSLIB00000085088,0.04,0.6727272727272724,0.6019563809918327,0.3,22
CCMSLIB00000085703,CCMSLIB00000085565,0.12,0.5454545454545454,0.4433616310597937,0.12,19
CCMSLIB00000084979,CCMSLIB00000086051,0.08,0.588888888888889,0.4948536095902638,0.7644444444444445,19
CCMSLIB00000085276,CCMSLIB00000084738,0.1,0.4433333333333333,0.3332986456298031,0.1,14
CCMSLIB00000084979,CCMSLIB00000085131,0.12,0.5422222222222222,0.4482383458309211,0.12,19
CCMSLIB00000085225,CCMSLIB00000085643,0.08,0.588888888888889,0.4948536095902638,0.7644444444444445,19
CCMSLIB00000084950,CCMSLIB00000085697,0.06,0.4557142857142856,0.3462028471727201,0.06,29
CCMSLIB00000086094,CCMSLIB00000085210,0.12,0.7483333333333334,0.7011670432135263,0.4053333333333334,31
CCMSLIB00000084845,CCMSLIB00000085319,0.12,0.7345454545454544,0.6850650599794235,0.1981818181818183,23
CCMSLIB00000085319,CCMSLIB00000084784,0.08,0.6763636363636363,0.6070050060480523,0.8086956521739137,24
CCMSLIB00000084979,CCMSLIB00000085643,0.08,0.588888888888889,0.4948536095902638,0.7644444444444445,19
CCMSLIB00000084903,CCMSLIB00000085210,0.12,0.7483333333333334,0.7011670432135263,0.4053333333333334,31
CCMSLIB00000084784,CCMSLIB00000085976,0.08,0.5327272727272726,0.4339698791919449,0.08,25
CCMSLIB00000085985,CCMSLIB00000085212,0.06,0.4557142857142856,0.3462028471727201,0.06,29
CCMSLIB00000084979,CCMSLIB00000085335,0.12,0.5422222222222222,0.4482383458309211,0.12,19
CCMSLIB00000084853,CCMSLIB00000085910,0.1,0.6539999999999999,0.5886009175891129,0.74125,17
CCMSLIB00000086149,CCMSLIB00000085876,0.12,0.5519999999999999,0.4490340016593627,0.12,17
CCMSLIB00000085116,CCMSLIB00000085231,0.0,0.4666666666666667,0.3344147152509687,0.9178571428571431,29
CCMSLIB00000085976,CCMSLIB00000085856,0.04,0.6533333333333333,0.5812146177755032,0.1536,26
CCMSLIB00000085626,CCMSLIB00000085662,0.02,0.5338461538461539,0.4214788350574223,0.6272000000000005,26
CCMSLIB00000085565,CCMSLIB00000084748,0.02,0.6349999999999999,0.554711464122897,0.1210526315789474,20
CCMSLIB00000085818,CCMSLIB00000085426,0.1,0.6454545454545453,0.5704804156010307,0.1,23
CCMSLIB00000084784,CCMSLIB00000085212,0.08,0.5327272727272726,0.4339698791919449,0.08,25
