id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms
CCMSLIB00010122119,CCMSLIB00010123721,0.0,0.5033333333333332,0.415151014981816,0.4664516129032258,32
CCMSLIB00010107989,CCMSLIB00010114706,0.04,0.4866666666666667,0.3948963055594109,0.4866666666666667,19
CCMSLIB00010115952,CCMSLIB00010108096,0.06,0.4233333333333333,0.3107093505647665,0.5678260869565217,24
CCMSLIB00010104397,CCMSLIB00010113786,0.06,0.6945454545454544,0.6253548867967584,0.5159999999999999,21
CCMSLIB00010105424,CCMSLIB00010118688,0.0,0.6520000000000001,0.6146578719493341,0.4666666666666666,19
CCMSLIB00010117921,CCMSLIB00010104003,0.12,0.51,0.4239259906989839,0.555,9
CCMSLIB00010116286,CCMSLIB00010104476,0.06,0.6783333333333335,0.608105632297036,0.5294736842105262,20
CCMSLIB00010114077,CCMSLIB00010119689,0.12,0.5657142857142858,0.4491066430761226,0.594,11
CCMSLIB00010103725,CCMSLIB00010115196,0.02,0.7076923076923078,0.6691499100006979,0.4591666666666668,25
CCMSLIB00010103167,CCMSLIB00010126592,0.1,0.43,0.2965148399558271,0.5272727272727273,12
CCMSLIB00010118870,CCMSLIB00010117367,0.06,0.4688888888888888,0.3290606182101928,0.5873684210526315,20
CCMSLIB00010105875,CCMSLIB00010107710,0.02,0.4088888888888888,0.330468703624345,0.5088888888888888,19
CCMSLIB00010103327,CCMSLIB00010124699,0.14,0.6228571428571429,0.5247358818861984,0.5163636363636364,12
CCMSLIB00010106013,CCMSLIB00010106699,0.1,0.4781818181818181,0.3594892036578672,0.502,21
CCMSLIB00010121278,CCMSLIB00010104729,0.02,0.4399999999999998,0.3405034598844007,0.44,19
CCMSLIB00010122390,CCMSLIB00010111657,0.08,0.4861538461538461,0.3729244449960383,0.5007999999999998,26
CCMSLIB00010111075,CCMSLIB00010111588,0.12,0.5675,0.4651269902488146,0.5366666666666667,13
CCMSLIB00010108688,CCMSLIB00010120945,0.12,0.5100000000000001,0.3393051788860749,0.502962962962963,28
CCMSLIB00010111669,CCMSLIB00010125677,0.08,0.54,0.4485593741626898,0.4716666666666666,13
CCMSLIB00010125867,CCMSLIB00010117459,0.08,0.5228571428571429,0.4469395984644169,0.5166666666666666,13
