id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms,cosine,matched,shifted,unshifted,weight,delta,peaks,shifted_annotated_ratio,shifted_annotated_ambiguity,shifted_annotated_entropy
CCMSLIB00000848432,CCMSLIB00000847704,0.0,0.6666666666666666,0.7700668082585997,0.5714285714285714,22,0.7417968693118324,6,5,1,300.123,30.00999999999999,7,0.8,3.25,1.0095514367932352
CCMSLIB00000846916,CCMSLIB00000849097,1.0,1.0,0.5400747089554142,1.0,31,0.9945152834962336,5,0,5,433.113,132.04199999999997,8,0.0,-1.0,0.0
CCMSLIB00000855849,CCMSLIB00000852830,0.0,0.4,0.4641870152704327,0.2,21,0.1915111523929833,40,8,32,293.211,55.99000000000001,99,1.0,20.0,0.2967029138490654
CCMSLIB00000846944,CCMSLIB00000848126,0.0,0.2666666666666666,0.1900486545220984,0.325,41,0.9998164414591734,4,0,4,581.15,30.00999999999999,4,0.0,-1.0,0.0
CCMSLIB00000846995,CCMSLIB00000846563,0.0,0.8695652173913043,0.821061895162667,0.0769230769230769,53,0.5509401650257352,32,16,16,765.426,30.010999999999967,36,1.0,909.0625,4.511346247345205
CCMSLIB00000847638,CCMSLIB00000847090,0.5,1.0,0.4016173202623232,1.0,18,0.0728088834369413,7,0,7,247.06,88.05200000000002,16,0.0,-1.0,0.0
CCMSLIB00000847155,CCMSLIB00000846823,1.0,1.0,0.7141066903288684,1.0,31,0.5397529536646297,6,3,3,435.128,15.995000000000005,12,1.0,45.0,1.4033777064644273
CCMSLIB00000846083,CCMSLIB00000848573,0.0,0.7647058823529411,0.3883357112666911,0.1794871794871795,40,0.9997755849580118,2,2,0,563.176,15.995000000000005,3,1.0,5.5,2.031009241117664
CCMSLIB00005721819,CCMSLIB00000845216,0.0,0.7777777777777778,0.623663392578437,0.8636363636363636,23,0.5154513109492405,27,4,23,323.149,58.005,82,1.0,56.25,0.1236602652388064
CCMSLIB00000848249,CCMSLIB00000848525,0.0,0.0,0.1180321756652511,0.21875,33,0.9968803293740036,5,0,5,465.102,162.053,12,0.0,-1.0,0.0
CCMSLIB00005721717,CCMSLIB00000845854,0.0,0.0769230769230769,0.2571428216849231,0.71875,33,0.987440587308686,5,0,5,463.125,132.03999999999996,12,0.0,-1.0,0.0
CCMSLIB00000854975,CCMSLIB00000846158,0.0,0.7142857142857143,0.6970216819985668,0.7391304347826086,24,0.9589207705186292,5,5,0,339.107,15.994999999999948,5,0.8,9.25,4.311568880779098
CCMSLIB00000847842,CCMSLIB00000846155,0.0,0.0,0.0569159325971571,0.6774193548387096,32,0.9978140454567888,2,0,2,449.108,146.05699999999996,6,0.0,-1.0,0.0
CCMSLIB00000845303,CCMSLIB00000848486,0.0,0.25,0.4039898339466244,0.5,33,0.9904792036747722,9,2,7,465.102,14.01600000000002,11,1.0,101.5,1.1831511040090132
CCMSLIB00000853643,CCMSLIB00000852853,0.0,0.3333333333333333,0.2859509141751336,0.8055555555555556,37,0.7523692102019539,27,9,18,521.311,14.015999999999964,99,0.8888888888888888,21.75,0.5495353813771985
CCMSLIB00000847437,CCMSLIB00000847486,0.0,0.8333333333333334,0.7352411686865796,0.8181818181818182,23,0.9689882042011674,35,28,7,315.086,15.995000000000005,42,0.7857142857142857,27.63636363636364,1.4830853890181896
CCMSLIB00005721457,CCMSLIB00000845561,0.0,0.2222222222222222,0.0395394875968856,0.5833333333333334,25,0.9151420316569264,36,24,12,355.104,42.045000000000016,68,1.0,132.0,1.398747828371076
CCMSLIB00000848337,CCMSLIB00005721643,0.0,0.6,0.5151245147988202,0.3,21,0.7214549612573947,7,5,2,291.086,15.99599999999998,42,0.8,9.0,0.495994147702491
CCMSLIB00000847409,CCMSLIB00000852272,0.5,1.0,0.3612137251020567,0.9642857142857144,29,0.1723006715130338,38,6,32,405.191,12.0,90,1.0,19.83333333333333,0.5178627177248402
CCMSLIB00000848585,CCMSLIB00000852883,0.0,0.75,0.7217537599739318,0.7307692307692307,27,0.6864924278682782,19,12,7,389.144,15.995000000000005,50,1.0,56.25,1.193796226932234
CCMSLIB00000845303,CCMSLIB00000845058,0.0,0.9166666666666666,0.307412073381471,0.78125,33,0.9810098584793208,9,0,9,465.102,13.980000000000018,11,0.0,-1.0,0.0
CCMSLIB00000851195,CCMSLIB00000855777,0.0,0.7777777777777778,0.7253400388606458,0.6111111111111112,19,0.4412833470350968,8,5,3,262.144,13.978999999999983,50,1.0,7.8,0.1806641700906762
CCMSLIB00000854301,CCMSLIB00000849933,0.0,0.5,0.3446412948075941,0.7037037037037037,28,0.6699456417053181,7,0,7,391.139,140.04700000000005,89,0.0,-1.0,0.0
CCMSLIB00000847638,CCMSLIB00000848691,0.5,1.0,0.3230925438361234,1.0,18,0.2908769158873133,12,0,12,247.06,54.047000000000025,16,0.0,-1.0,0.0
CCMSLIB00000847613,CCMSLIB00000847772,0.0,0.6923076923076923,0.5904251476991569,0.967741935483871,32,0.9983168533033664,10,7,3,449.108,14.014999999999986,11,0.8571428571428571,42.333333333333336,2.8385899216825394
CCMSLIB00000848128,CCMSLIB00000848899,0.0,0.5555555555555556,0.4766283579638612,0.0,17,0.0812036927459136,9,3,6,223.075,30.011000000000024,12,0.6666666666666666,2.5,0.1296827831596073
CCMSLIB00000846091,CCMSLIB00000845489,0.0,0.8888888888888888,0.2425858705886466,0.5333333333333333,16,0.4508364111849472,30,10,20,223.096,30.011,95,1.0,17.9,0.2710576971644914
CCMSLIB00000846413,CCMSLIB00000845056,0.0,0.1666666666666666,0.3278701357746245,0.4137931034482758,30,0.9993593862810278,7,0,7,419.097,30.011000000000024,9,0.0,-1.0,0.0
CCMSLIB00000848751,CCMSLIB00000848278,0.0,0.5,0.4691760848388547,0.935483870967742,32,0.9858923809535056,7,0,7,449.108,146.05699999999996,13,0.0,-1.0,0.0
CCMSLIB00000845054,CCMSLIB00000847090,0.0,0.3333333333333333,0.2136286075380713,0.1904761904761904,22,0.5446768910353198,19,12,7,305.102,30.010000000000048,47,0.8333333333333334,9.9,0.5372227654952638
CCMSLIB00000855712,CCMSLIB00000851772,0.0,0.8181818181818182,0.6665215926381224,0.7407407407407407,28,0.9662010008064746,9,1,8,386.233,15.995000000000005,11,1.0,19.0,0.1560647571747255
CCMSLIB00000848655,CCMSLIB00005721451,0.0,0.4166666666666667,0.0999622478563905,0.6666666666666666,31,0.6699426949172727,3,0,3,433.113,168.00600000000003,10,0.0,-1.0,0.0
CCMSLIB00000848637,CCMSLIB00000847032,0.0,0.2666666666666666,0.3131931607658988,0.4516129032258064,32,0.9998010961452856,3,2,1,447.092,15.995000000000005,3,1.0,24.5,2.3901909351225394
CCMSLIB00000849013,CCMSLIB00000849064,0.0,0.8,0.7830672125013458,0.9047619047619048,22,0.0008735889666252,3,0,3,301.07,148.038,28,0.0,-1.0,0.0
CCMSLIB00000848136,CCMSLIB00000848477,0.0,0.75,0.6721696711490067,0.8,41,0.996181081176427,22,11,11,581.186,14.015999999999964,24,1.0,109.9090909090909,2.775219563940355
CCMSLIB00000850982,CCMSLIB00000855079,0.0,0.2666666666666666,0.4859269866458179,0.896551724137931,30,0.9717213357578764,28,4,24,418.15,14.015000000000043,71,1.0,79.0,0.2476381272325962
CCMSLIB00000853006,CCMSLIB00000855408,0.0,0.6086956521739131,0.6485299609487756,0.7384615384615385,66,0.8855205510731969,63,2,61,943.526,13.979000000000042,100,1.0,57.0,0.2321476025475267
CCMSLIB00000855103,CCMSLIB00000851176,0.0,0.625,0.4884626782339363,0.6956521739130435,24,0.4079817151105275,29,6,23,333.206,15.995000000000005,63,1.0,47.16666666666666,0.239740931500404
CCMSLIB00000848562,CCMSLIB00000848735,0.0,0.7,0.6844481852795703,0.55,21,0.0493511288893587,3,0,3,285.112,102.06799999999998,21,0.0,-1.0,0.0
CCMSLIB00000851819,CCMSLIB00000852758,0.0,0.7333333333333333,0.6070934856346581,0.8148148148148148,28,0.9733357540874316,5,0,5,373.166,68.06299999999999,7,0.0,-1.0,0.0
CCMSLIB00000846113,CCMSLIB00000847457,0.2,1.0,0.7306516319714834,1.0,20,0.9977199132992888,4,0,4,277.18,56.06200000000001,6,0.0,-1.0,0.0
CCMSLIB00000848276,CCMSLIB00000847501,0.0,0.1,0.2051619144861288,0.9230769230769232,27,0.9012687951385504,21,4,17,417.014,14.014999999999986,49,1.0,80.75,0.3473874262656031
CCMSLIB00000849040,CCMSLIB00000845214,1.0,1.0,0.7535925382555911,1.0,31,0.4501707637679247,43,18,25,435.128,15.995000000000005,77,1.0,79.77777777777777,1.0662398962635478
CCMSLIB00000846155,CCMSLIB00000846809,0.5,1.0,0.5491258426395446,0.975609756097561,42,0.9479593586612184,5,1,4,595.165,146.058,5,1.0,199.0,0.7264977658252411
CCMSLIB00005721422,CCMSLIB00005721170,0.3333333333333333,1.0,0.6543496013797302,1.0,21,0.0246545301482319,3,0,3,295.192,56.06299999999999,13,0.0,-1.0,0.0
CCMSLIB00000845303,CCMSLIB00000846043,0.0,0.25,0.1511618977936763,0.75,33,0.9959856992239864,9,0,9,465.102,86.00099999999998,11,0.0,-1.0,0.0
CCMSLIB00000848337,CCMSLIB00000848636,0.0,0.1,0.1716398943041841,0.85,21,0.8884003876204354,20,0,20,291.086,132.04199999999997,42,0.0,-1.0,0.0
CCMSLIB00000851059,CCMSLIB00005721803,0.0,0.4166666666666667,0.5649182288207861,0.8333333333333334,25,0.7613372863926515,5,0,5,343.118,14.01600000000002,100,0.0,-1.0,0.0
CCMSLIB00005721270,CCMSLIB00000847763,0.0,0.7142857142857143,0.7618964384598117,0.4285714285714285,22,0.1703156115303352,5,2,3,299.164,68.06200000000001,12,1.0,5.5,0.1503484991022176
CCMSLIB00000854236,CCMSLIB00000855455,1.0,1.0,0.3968811225063437,1.0,22,0.6917175964860415,40,6,34,307.154,14.01600000000002,93,1.0,16.166666666666668,0.220990017053864
CCMSLIB00000846368,CCMSLIB00000845044,0.0,0.8571428571428571,0.6356636608752457,0.9333333333333332,16,0.4262221447950634,28,21,7,243.042,15.994999999999976,53,0.9523809523809524,8.55,0.7215073913699026
CCMSLIB00000849955,CCMSLIB00000853669,0.0,0.6923076923076923,0.6119642428008089,0.217391304347826,24,0.7701011615695365,4,4,0,339.107,30.010999999999967,5,0.75,11.333333333333334,3.3280294210917005
CCMSLIB00005721614,CCMSLIB00000847365,0.0,0.0,0.0916469494671674,0.3181818181818182,23,0.3861584136541653,37,8,29,321.243,58.005,98,1.0,31.375,0.1915337163276304
CCMSLIB00000849087,CCMSLIB00000849088,0.0,0.5555555555555556,0.637653340810599,0.9230769230769232,79,0.9133286277001066,52,2,50,1131.52,16.0,97,1.0,38.0,0.0585926398960319
CCMSLIB00000848010,CCMSLIB00000845128,0.0,0.8888888888888888,0.6057617449883583,0.8333333333333334,25,0.8881263548458482,24,23,1,349.092,33.96100000000001,40,0.9130434782608696,57.142857142857146,1.988588556197308
CCMSLIB00005721723,CCMSLIB00000848682,1.0,1.0,0.6342121379599857,1.0,37,0.8210041905046487,38,15,23,526.302,14.01400000000001,69,1.0,142.13333333333333,1.696465455734166
CCMSLIB00000850108,CCMSLIB00000848754,1.0,1.0,0.3203470454552596,1.0,55,0.7408242907216749,62,0,62,785.505,294.0949999999999,99,0.0,-1.0,0.0
