id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms,cosine,matched,shifted,unshifted,weight,delta,peaks,shifted_annotated_ratio,shifted_annotated_ambiguity,shifted_annotated_entropy
CCMSLIB00010122119,CCMSLIB00010123721,0.0,0.6666666666666666,0.5505974125180658,0.6129032258064516,32,0.987396316024682,15,6,9,449.108,15.995000000000005,18,1.0,74.0,2.2065606352013707
CCMSLIB00010107989,CCMSLIB00010114706,0.0,0.5555555555555556,0.378887244962972,0.1111111111111111,19,0.8146939542368632,1,0,1,255.065,15.995000000000005,2,0.0,-1.0,0.0
CCMSLIB00010115952,CCMSLIB00010108096,0.0,0.75,0.6380130941055293,0.8695652173913043,24,0.6700241498712796,19,6,13,327.098,28.03100000000001,55,0.8333333333333334,4.8,0.2367284787381907
CCMSLIB00010104397,CCMSLIB00010113786,0.0,0.0,0.0,0.0,21,0.0,0,0,0,283.096,15.995000000000005,2,0.0,-1.0,0.0
CCMSLIB00010105424,CCMSLIB00010118688,0.0,0.0,0.0,0.0,19,0.0,0,0,0,255.065,15.995000000000005,0,0.0,-1.0,-1.0
CCMSLIB00010117921,CCMSLIB00010104003,0.0,0.0,0.0,0.0,9,0.0,0,0,0,121.051,45.98799999999999,2,0.0,-1.0,0.0
CCMSLIB00010116286,CCMSLIB00010104476,0.0,0.9166666666666666,0.6453673284379907,0.5789473684210527,20,0.3956096840660751,2,2,0,269.081,15.995000000000005,18,1.0,8.5,0.1734332769573157
CCMSLIB00010114077,CCMSLIB00010119689,0.125,1.0,0.6064565867425423,0.8,11,0.9823065847999206,2,2,0,149.06,15.995000000000005,3,1.0,1.0,0.0
CCMSLIB00010103725,CCMSLIB00010115196,0.0,0.0,0.0,0.0,25,0.0,0,0,0,340.154,13.980000000000018,6,0.0,-1.0,0.0
CCMSLIB00010103167,CCMSLIB00010126592,1.0,1.0,0.3391845888345086,1.0,12,0.3625305527987302,7,1,6,180.087,79.96600000000001,23,1.0,5.0,0.0388075741416016
CCMSLIB00010118870,CCMSLIB00010117367,0.0,0.6666666666666666,0.5543039518242505,0.7894736842105263,20,0.9632889706451384,13,9,4,271.06,15.995000000000005,13,0.7777777777777778,15.142857142857142,1.875983372700161
CCMSLIB00010105875,CCMSLIB00010107710,0.0,0.0,0.0,0.0,19,0.0,0,0,0,255.065,30.011000000000024,1,0.0,-1.0,0.0
CCMSLIB00010103327,CCMSLIB00010124699,0.0,0.8571428571428571,0.7052308609699474,0.7272727272727273,12,0.7307630185790919,3,3,0,166.086,17.990999999999985,7,1.0,2.0,0.2101776970739413
CCMSLIB00010106013,CCMSLIB00010106699,0.0,0.4545454545454545,0.0954471874821464,0.1,21,0.1261071833098774,2,0,2,289.155,113.084,13,0.0,-1.0,0.0
CCMSLIB00010121278,CCMSLIB00010104729,0.3333333333333333,1.0,0.3717625729356938,1.0,19,0.0308147863184212,1,0,1,255.065,14.01600000000002,13,0.0,-1.0,0.0
CCMSLIB00010122390,CCMSLIB00010111657,0.0,0.3076923076923077,0.2999865688114863,0.92,26,0.8579402374170783,6,3,3,354.125,28.03100000000001,16,1.0,7.333333333333333,0.5583781686339144
