id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms,cosine,matched,shifted,unshifted,weight,delta,peaks,shifted_annotated_ratio,shifted_annotated_ambiguity,shifted_annotated_entropy
CCMSLIB00010122119,CCMSLIB00010123721,0.0,0.6666666666666666,0.6222285856314385,0.8387096774193549,32,0.987396316024682,15,6,9,449.108,15.995000000000005,18,1.0,45.16666666666666,1.796440273195172
CCMSLIB00010107989,CCMSLIB00010114706,0.0,0.5555555555555556,0.378887244962972,0.1111111111111111,19,0.8146939542368632,1,0,1,255.065,15.995000000000005,2,0.0,-1.0,0.0
CCMSLIB00010115952,CCMSLIB00010108096,0.0,0.6666666666666666,0.6129627314614915,0.8260869565217391,24,0.6700241498712796,19,6,13,327.098,28.03100000000001,55,0.8333333333333334,3.6,0.2279496864735003
CCMSLIB00010104397,CCMSLIB00010113786,0.0,0.0,0.0,0.0,21,0.0,0,0,0,283.096,15.995000000000005,2,0.0,-1.0,0.0
CCMSLIB00010105424,CCMSLIB00010118688,0.0,0.0,0.0,0.0,19,0.0,0,0,0,255.065,15.995000000000005,0,0.0,-1.0,-1.0
CCMSLIB00010117921,CCMSLIB00010104003,0.0,0.0,0.0,0.0,9,0.0,0,0,0,121.051,45.98799999999999,2,0.0,-1.0,0.0
CCMSLIB00010116286,CCMSLIB00010104476,0.0,0.9166666666666666,0.641356231820884,0.4736842105263157,20,0.3956096840660751,2,2,0,269.081,15.995000000000005,18,1.0,7.0,0.1739070842601821
CCMSLIB00010114077,CCMSLIB00010119689,0.125,1.0,0.6064565867425423,0.8,11,0.9823065847999206,2,2,0,149.06,15.995000000000005,3,1.0,1.0,0.0
CCMSLIB00010103725,CCMSLIB00010115196,0.0,0.0,0.0,0.0,25,0.0,0,0,0,340.154,13.980000000000018,6,0.0,-1.0,0.0
CCMSLIB00010103167,CCMSLIB00010126592,1.0,1.0,0.319005703702128,1.0,12,0.3625305527987302,7,1,6,180.087,79.96600000000001,23,1.0,5.0,0.0388075741416016
CCMSLIB00010118870,CCMSLIB00010117367,0.0,0.6666666666666666,0.5798969213715812,0.7894736842105263,20,0.9632889706451384,13,9,4,271.06,15.995000000000005,13,0.7777777777777778,14.571428571428571,1.858925966626872
CCMSLIB00010105875,CCMSLIB00010107710,0.0,0.0,0.0,0.0,19,0.0,0,0,0,255.065,30.011000000000024,1,0.0,-1.0,0.0
CCMSLIB00010103327,CCMSLIB00010124699,0.0,0.8571428571428571,0.7052308609699474,0.7272727272727273,12,0.7307630185790919,3,3,0,166.086,17.990999999999985,7,1.0,2.0,0.2101776970739413
CCMSLIB00010106013,CCMSLIB00010106699,0.0,0.5454545454545454,0.1537117975573521,0.3,21,0.1261071833098774,2,0,2,289.155,113.084,13,0.0,-1.0,0.0
CCMSLIB00010121278,CCMSLIB00010104729,0.3333333333333333,1.0,0.3717625729356938,1.0,19,0.0308147863184212,1,0,1,255.065,14.01600000000002,13,0.0,-1.0,0.0
CCMSLIB00010122390,CCMSLIB00010111657,0.0,0.3846153846153846,0.240608734006029,0.68,26,0.8579402374170783,6,3,3,354.125,28.03100000000001,16,1.0,6.333333333333333,0.2963040095475661
CCMSLIB00010111075,CCMSLIB00010111588,0.0,0.125,0.311338217997916,0.9166666666666666,13,0.8646516814223334,4,2,2,181.05,14.014999999999986,8,1.0,9.5,0.3726213498254678
CCMSLIB00010108688,CCMSLIB00010120945,0.0,0.8,0.6094283846816985,0.7407407407407407,28,0.8763236267047136,3,3,0,388.175,109.993,3,1.0,11.333333333333334,1.3373292850930083
CCMSLIB00010111669,CCMSLIB00010125677,0.1111111111111111,1.0,0.605713604007799,0.8333333333333334,13,0.9990297093971208,1,1,0,176.071,15.995000000000005,1,1.0,2.0,0.6931471805599453
CCMSLIB00010125867,CCMSLIB00010117459,0.0,0.5714285714285714,0.1548044534293262,0.3333333333333333,13,0.1583541268778817,4,2,2,172.039,15.995000000000005,16,1.0,6.0,0.1139509729962216
CCMSLIB00010126542,CCMSLIB00010114072,0.0,0.7142857142857143,0.5442923198856543,0.0909090909090909,12,0.500655324544602,2,0,2,166.086,15.994999999999976,5,0.0,-1.0,0.0
CCMSLIB00010111671,CCMSLIB00010124217,0.5,1.0,0.8186823705368748,1.0,13,1.0,1,0,1,176.071,28.03100000000001,1,0.0,-1.0,0.0
CCMSLIB00010106122,CCMSLIB00010107922,0.0,0.8,0.5526743930430738,0.3333333333333333,16,0.9976389370816904,4,4,0,242.058,33.96100000000001,4,0.75,4.0,0.9001716430921025
CCMSLIB00010111341,CCMSLIB00010114155,0.0,0.0,0.0,0.0,11,0.0,0,0,0,153.055,12.0,9,0.0,-1.0,0.0
CCMSLIB00010125635,CCMSLIB00010125861,0.0,0.3333333333333333,0.2037843333681282,0.4545454545454545,12,0.4296430743227061,8,5,3,169.05,14.014999999999986,14,1.0,10.2,0.7068743165806487
CCMSLIB00010110234,CCMSLIB00010125923,0.0,0.6,0.4213936649274664,0.6521739130434783,24,0.4789310757684732,7,2,5,388.054,122.019,19,1.0,3.5,0.1109981583213491
CCMSLIB00010124701,CCMSLIB00010119951,0.0,0.25,0.3153478705006683,0.4333333333333333,31,0.9828364251403314,5,2,3,433.113,14.01600000000002,11,1.0,16.0,0.6075385132871083
CCMSLIB00010104046,CCMSLIB00010103436,0.0909090909090909,1.0,0.3303217627036071,0.4117647058823529,18,0.4342571494851903,1,1,0,246.076,14.015999999999991,1,1.0,7.0,0.92490407896355
CCMSLIB00010119692,CCMSLIB00010111590,0.0,0.75,0.5896974945143124,0.5454545454545454,12,0.8515689796397425,2,2,0,165.055,30.00999999999999,10,1.0,4.5,0.2390441903294303
CCMSLIB00010105890,CCMSLIB00010108200,0.1111111111111111,1.0,0.8081950061395473,0.75,21,0.9620525154002696,1,1,0,290.175,15.995000000000005,2,1.0,1.0,0.0
CCMSLIB00010106161,CCMSLIB00010106970,0.0833333333333333,1.0,0.6285600005876416,1.0,21,0.998734915961948,2,0,2,292.154,14.01600000000002,2,0.0,-1.0,0.0
CCMSLIB00010103937,CCMSLIB00010105059,0.0,0.0,0.0,0.0,18,0.0,0,0,0,239.07,30.011000000000024,0,0.0,-1.0,-1.0
CCMSLIB00010110781,CCMSLIB00010123721,0.0,0.75,0.5002896773056219,0.4193548387096774,32,0.929123214984636,6,1,5,449.108,15.995000000000005,8,1.0,21.0,0.3972185942759225
CCMSLIB00010103688,CCMSLIB00010116394,0.0,0.8,0.5013646963603514,0.2222222222222222,19,0.7764789447105677,2,2,0,253.086,15.995000000000005,2,1.0,13.5,1.6248679526691494
CCMSLIB00010126826,CCMSLIB00010122662,0.0,0.75,0.514033689292579,0.75,9,0.1880858406533311,1,1,0,121.051,31.971999999999998,1,1.0,7.0,1.7062821795090697
CCMSLIB00010114943,CCMSLIB00010116687,0.0,0.4,0.0803167088200051,0.5882352941176471,18,0.0248715204461018,2,0,2,237.091,116.04699999999995,10,0.0,-1.0,0.0
CCMSLIB00010126676,CCMSLIB00010126865,1.0,1.0,0.9153947352151486,1.0,20,0.7164869474855694,9,6,3,308.091,84.094,16,1.0,3.0,0.6869700139284645
CCMSLIB00010116189,CCMSLIB00010118355,0.0,0.6363636363636364,0.3113212088593431,0.1,21,0.0476299867441065,7,2,5,283.096,30.011000000000024,15,1.0,6.0,0.6817590875321629
CCMSLIB00010107537,CCMSLIB00010106027,0.0,0.0,0.0,0.0,20,0.0,0,0,0,271.06,15.995000000000005,0,0.0,-1.0,-1.0
CCMSLIB00010103210,CCMSLIB00010103281,0.0,0.8571428571428571,0.5612005251009096,0.4444444444444444,10,0.9608960474679202,1,1,0,147.113,43.99000000000001,2,1.0,3.0,0.6365141682948128
CCMSLIB00010111345,CCMSLIB00010108025,0.0,0.3333333333333333,0.1565359528548948,0.5909090909090909,23,0.9832645211691088,2,1,1,334.077,14.01600000000002,4,1.0,4.0,1.157373298222901
CCMSLIB00010115083,CCMSLIB00010125489,0.0,0.5,0.3678795147473232,0.95,21,0.0716090110531498,3,0,3,273.091,30.010999999999967,10,0.0,-1.0,0.0
CCMSLIB00010118246,CCMSLIB00010109946,0.0,0.3846153846153846,0.0467311055255919,0.28,26,0.0785952503070116,4,1,3,353.066,42.01000000000005,36,1.0,13.0,0.2520018856390071
CCMSLIB00010113055,CCMSLIB00010125233,0.0,0.8666666666666667,0.7366620128941818,0.8461538461538461,27,0.8667783964490399,5,0,5,364.166,14.014999999999986,6,0.0,-1.0,0.0
CCMSLIB00010106853,CCMSLIB00010115588,0.0,0.7,0.778983857927127,0.8695652173913043,24,0.968344207416684,2,2,0,328.154,30.011000000000024,4,1.0,5.0,0.5720842166927734
CCMSLIB00010103057,CCMSLIB00010102882,0.0,0.0,0.0,0.0,8,0.0,0,0,0,118.086,58.01700000000001,3,0.0,-1.0,0.0
CCMSLIB00010117360,CCMSLIB00010103976,1.0,1.0,0.7168830670715156,1.0,21,0.9923321889135168,4,2,2,285.112,14.015999999999964,12,1.0,4.5,0.2122825281906248
CCMSLIB00010104314,CCMSLIB00010105677,1.0,1.0,0.7088171017339597,1.0,28,0.9949605554247192,12,0,12,383.149,14.01600000000002,14,0.0,-1.0,0.0
CCMSLIB00010108593,CCMSLIB00010124699,0.0,0.8571428571428571,0.7052308609699474,0.7272727272727273,12,0.9665399836283032,3,3,0,166.086,17.990999999999985,5,1.0,2.0,0.2942487759035178
CCMSLIB00010104438,CCMSLIB00010118033,0.1428571428571428,1.0,0.8442247931080681,0.8636363636363636,23,0.9522513310247817,3,1,2,315.123,30.00999999999999,8,1.0,7.0,0.7293748831549439
CCMSLIB00010106448,CCMSLIB00010106109,0.1666666666666666,1.0,0.8347864858111946,0.8235294117647058,18,0.6710402980330469,2,1,1,241.086,15.995000000000005,16,1.0,2.0,0.0433216987849965
CCMSLIB00010114865,CCMSLIB00010103734,0.1428571428571428,1.0,0.6516276282618834,0.9411764705882352,18,0.1018748024855173,1,0,1,239.07,14.01600000000002,8,0.0,-1.0,0.0
CCMSLIB00010121486,CCMSLIB00010122241,0.0,0.7647058823529411,0.6058657317053261,0.625,33,0.9999165153133336,13,0,13,440.197,14.01600000000002,13,0.0,-1.0,0.0
CCMSLIB00010122755,CCMSLIB00010114310,0.0,0.5,0.3074602856448106,0.1111111111111111,10,0.5352306498363165,4,2,2,139.039,30.011000000000024,8,1.0,4.5,0.2988052379117878
CCMSLIB00010103081,CCMSLIB00010113797,0.0,0.0,0.0,0.0,6,0.0,0,0,0,90.055,42.047,2,0.0,-1.0,0.0
CCMSLIB00010105695,CCMSLIB00010104925,0.0,0.7272727272727273,0.7852159682619142,0.9,21,0.9434835263908848,5,2,3,287.091,15.995000000000005,5,1.0,4.5,2.0002292464493
CCMSLIB00010118824,CCMSLIB00010117122,0.0,0.7777777777777778,0.6175118780943578,0.8235294117647058,18,0.9673492039999462,16,11,5,241.086,14.015999999999991,33,0.8181818181818182,6.333333333333333,0.46027942948586
CCMSLIB00010119046,CCMSLIB00010108457,0.0,0.9090909090909092,0.6354867831757841,0.2,21,0.2201069279300902,1,1,0,285.076,15.995000000000005,7,1.0,8.0,0.1335313926245226
CCMSLIB00010126709,CCMSLIB00010113186,0.0,0.0,0.0,0.0,9,0.0,0,0,0,124.039,15.99499999999999,2,0.0,-1.0,0.0
CCMSLIB00010111701,CCMSLIB00010124534,0.0,0.9375,0.8265008592822054,0.9655172413793104,30,0.8410939420389313,5,0,5,420.149,13.978999999999983,5,0.0,-1.0,0.0
CCMSLIB00010126913,CCMSLIB00010126511,0.2,1.0,0.4268396466057235,0.5555555555555556,10,0.3018412097660258,1,0,1,137.046,15.010999999999996,3,0.0,-1.0,0.0
CCMSLIB00010126542,CCMSLIB00010118736,0.0,0.5714285714285714,0.5686916181988209,0.7272727272727273,12,0.9714387427750728,3,0,3,166.086,42.011,5,0.0,-1.0,0.0
CCMSLIB00010124377,CCMSLIB00010123032,0.0,0.9333333333333332,0.7202839318511759,0.9230769230769232,27,0.9436737029374784,13,0,13,364.166,14.014999999999986,15,0.0,-1.0,0.0
CCMSLIB00010126841,CCMSLIB00010126992,0.3333333333333333,1.0,0.7948269450268113,1.0,8,0.4634554026335158,2,2,0,118.086,15.01100000000001,17,1.0,1.5,0.0407733635623497
CCMSLIB00010103198,CCMSLIB00010109480,0.0,0.75,0.5262855320223885,0.4285714285714285,8,0.9988109117296904,2,2,0,118.086,14.016000000000004,4,1.0,3.0,0.4054651081081644
CCMSLIB00010103725,CCMSLIB00010114899,0.0769230769230769,1.0,0.7029944965717208,0.9166666666666666,25,0.0074236136946013,1,1,0,340.154,71.03699999999998,6,1.0,3.0,0.1351550360360548
CCMSLIB00010106134,CCMSLIB00010119044,0.0,0.0,0.0,0.0,20,0.0,0,0,0,271.06,14.01600000000002,0,0.0,-1.0,-1.0
CCMSLIB00010104027,CCMSLIB00010103762,0.0,0.0,0.0,0.0,13,0.0,0,0,0,169.076,14.01600000000002,0,0.0,-1.0,-1.0
CCMSLIB00010118321,CCMSLIB00010105588,0.0,0.4444444444444444,0.2557772257173112,0.8,16,0.9926836108550124,3,2,1,219.113,14.014999999999986,9,1.0,2.5,0.2019797188663957
CCMSLIB00010119904,CCMSLIB00010119416,0.2,1.0,0.8333637071290576,0.9166666666666666,13,0.9978683173648188,2,0,2,180.066,14.014999999999986,5,0.0,-1.0,0.0
CCMSLIB00010123032,CCMSLIB00010125038,0.0,0.7333333333333333,0.707855191288255,0.8148148148148148,28,0.9667765663662642,15,0,15,378.181,14.01600000000002,19,0.0,-1.0,0.0
CCMSLIB00010104690,CCMSLIB00010105208,0.0,0.7857142857142857,0.8234829779103976,0.75,29,0.5411841188272507,5,2,3,399.191,30.011000000000024,8,1.0,12.5,0.461244210595294
CCMSLIB00010125672,CCMSLIB00010103144,0.0,0.7777777777777778,0.4544322617818183,0.1666666666666666,19,0.9997238466653656,1,1,0,269.088,15.010999999999967,4,1.0,4.0,1.1900763072081852
CCMSLIB00010102042,CCMSLIB00010118962,0.0,0.5,0.4999225098487483,0.3571428571428571,15,0.9114334071336035,12,9,3,205.097,30.011,17,1.0,3.2222222222222223,0.5636895916269569
CCMSLIB00010106612,CCMSLIB00010110928,0.0,0.0,0.0,0.0,19,0.0,0,0,0,255.065,15.995000000000005,1,0.0,-1.0,0.0
CCMSLIB00010121501,CCMSLIB00010111895,0.1428571428571428,1.0,0.7739310395830902,0.875,25,0.8790511495084852,6,1,5,378.079,30.00999999999999,12,1.0,2.0,0.4620981203732968
